candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks,state,year,winner,so_do,age,address,profession,spouse_profession,party_eci
ABDUR RAHMAN,http://myneta.info/bih2005/candidate.php?candidate_id=2014,Sheohar,IND,0,Graduate,699000,0,699000,66,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,M.Za Ullaha,29,"Gr.and Po.Namagaon, Thana Shamamshur, Marha, Dist.Shivla",,,Independent
ABDUS SUBHAN,http://myneta.info/bih2005/candidate.php?candidate_id=753,Pranpur,LJP,0,10th Pass,1473000,202463,1270537,145,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Late  Raut,44,"Village - Choulhar, P.S. - Ajamnagar, District - Katihar",,,Lok Janshakti Party
ABDUS SUBHAN,http://myneta.info/bih2005/candidate.php?candidate_id=338,Baisi,RJD,0,10th Pass,615000,0,615000,137,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,MOHD. MUSA,56,VILL & PO - CHARAIYA PS BAIR DIST PURNIA,,,Rashtriya Janata Dal
ABHAY KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=258,Aurai,IND,0,12th Pass,1341000,907800,433200,62,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,GNESH PARSAD YADAV,30,"VILL. PO., PS, - AURAI, DIST. MUZAFFARPUR",,,Independent
ABHAY KUMAR ANIL,http://myneta.info/bih2005/candidate.php?candidate_id=1427,Ghosi,IND,1,Graduate,131500,0,131500,228,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Bajrang Sharma,40,"Gr.Vibhunpur, Thana Ghosi, Dist.Jahanabad",,,Independent
ABHAY KUMAR RAM,http://myneta.info/bih2005/candidate.php?candidate_id=867,Kishunpur,BSP,0,Graduate,176556,0,176556,111,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Kishori Ram,29,"BELA TALA,-LAXINIYA, POST.-DIGAHIA, District - Supaul",,,Bahujan Samaj Party
ABHAY KUMAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=42,Matihani,INC,2,12th Pass,2562653,800000,1762653,104,GEN,NA,NA,,false,true,Male,,,,,,Bihar,2005,false,Ugan Dev P. Singh,41,"Mugeri Ganj, Ward No. 19, Distt. Begusarai",,,Indian National Congress
Abhay Kumar Singh,http://myneta.info/bih2005/candidate.php?candidate_id=1008,Ramgarh : Bye-election on 10-09-2009,BJP,1,Post Graduate,1233798,200000,1033798,210,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Late Satya Narayan Rai,40,"Village-Mushian,P.O.-Bagarhi,P.S.-Ramgarh,Distt.-Kaimur",,,Bharatiya Janata Party
ABHAY KUMAR YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=1164,Nathnagar,SP,0,Graduate,175892,270000,-94108,149,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Chunchun Prasad Yadav,33,"Gram.Post Baluachak, Station Jagdishpur",,,Samajwadi Party
ABHAY SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=171,Jamui,JD(U),0,12th Pass,766821,0,766821,170,GEN,NA,NA,,true,false,Male,,,,,,Bihar,2005,true,NARENDRA SINGH,28,"VILL. POKRI, PO. BHOUR, DIST. JAMUI",,,Janata Dal (United)
ABHIMANYU SHARMA,http://myneta.info/bih2005/candidate.php?candidate_id=662,Obra,LJP,0,Graduate,5045800,0,5045800,222,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Bhikhari Singh,39,"P.S. - Obra ,District - Aurangabad",,,Lok Janshakti Party
ABINASH SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=1196,Jagdishpur,CPI(ML)(L),6,12th Pass,18000,80000,-62000,204,GEN,NA,NA,,false,true,Male,,,,,,Bihar,2005,false,Bijendra Singh,39,"Village & Po. Bahuara, PS. Jagdishpur, Dist. Bhojpur",,,Communist Party of India (Marxist-Leninist) (Liberation)
ABITABH JHA,http://myneta.info/bih2005/candidate.php?candidate_id=1273,Jale,IND,0,12th Pass,1252000,7000,1245000,91,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Dr.Prem Shankar Jha,30,"Vill.Post.NarahatSham P.S.Jale,Dist.Darbhnga",,,Independent
ADALAT CHOUDHARY,http://myneta.info/bih2005/candidate.php?candidate_id=1414,Kateya,IND,0,5th Pass,280000,0,280000,21,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Mahavir Choudhary,NaN,"Vill. Padriya, Po. Kateya, Dist. Gopalganj",,,Independent
ADHIR KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=1700,Chandi,IJP,0,10th Pass,74100,0,74100,181,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Virmani Singh,40,"Vill.Barnpur, Po.Rawghat, PS.Chandi, Dist.Nalanda",,,Indian Justice Party
AFAQUE ALAM,http://myneta.info/bih2005/candidate.php?candidate_id=493,Amour,BJP,0,Post Graduate,79700,10000,69700,136,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Ainul Haque,47,"Amour , District - Darbhanga",,,Bharatiya Janata Party
AFTAB ALAM,http://myneta.info/bih2005/candidate.php?candidate_id=539,Barauli,BSP,0,8th Pass,1532000,0,1532000,25,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Md. Alam,41,"Sareya Narendra Barauli, District - Gopalganj",,,Bahujan Samaj Party
AFTAB AZIM,http://myneta.info/bih2005/candidate.php?candidate_id=10,Sikti,LJP,0,Graduate,2760793,212537,2548256,131,GEN,NA,NA,,true,false,Male,,,,,,Bihar,2005,false,Shri Azim Uddin,30,"vill+P.O.-Dehti,via-Madanpur, p.s.-palasi,district-Araria 854333",,,Lok Janshakti Party
AGHANOO YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=1604,Pandaul,SP,0,Graduate Professional,2514359,15250,2499109,79,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Raghu Nandan Yadav,62,"Vill. Kanakpur, P.S. Sakari, Dist. Madhubani",,,Samajwadi Party
AHMAD ALI TAMANNE,http://myneta.info/bih2005/candidate.php?candidate_id=694,Jale,CPI,0,Post Graduate,0,0,0,91,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,A. Salam,33,"Jale , District - Darbhanga",,,Communist Party of India
AJAY  YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=1376,Gaya Mufassil,IND,0,12th Pass,703100,23347,679753,231,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Babu Yadav,41,Gr.Kandi Nabad,,,Independent
AJAY KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=1807,Paliganj,IND,0,10th Pass,462000,0,462000,195,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Tri Lok Nath Singh,31,"Gr.Sakhajipur, Po.Pakharpur, Thana Paliganj, Dist.Patna",,,Independent
AJAY KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=2006,Barbigha,IND,0,12th Pass,45000,0,45000,174,SC,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Nand Lal Paswan,35,Mahsar Po.Bhadaus,,,Independent
AJAY KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=2033,Belsand,IND,0,12th Pass,1295000,0,1295000,65,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Ramswanth Rai,29,"Vill. Ajarkew Ragadih Barahi, P.S. Tariyani, Dist. Shivhar",,,Independent
AJAY KUMAR MANDAL,http://myneta.info/bih2005/candidate.php?candidate_id=55,Colgong,JD(U),3,8th Pass,280500,50000,230500,148,GEN,NA,NA,,false,true,Male,,,,,,Bihar,2005,true,Ramdas Mandal,30,"Village Gol Sadak, Po. + Teh. Dhodha.  Distt. Bagalpur",,,Janata Dal (United)
AJAY KUMAR PASWAN,http://myneta.info/bih2005/candidate.php?candidate_id=1635,Baruraj,IND,0,Graduate,20200,0,20200,55,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Nand Lal Paswan,41,"Vill. Jahangirpur Post Motipur, Dist. Muzzafarpur",,,Independent
AJAY KUMAR RAI,http://myneta.info/bih2005/candidate.php?candidate_id=1415,Kateya,IND,0,Literate,35000,20000,15000,21,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Devendra Ram,29,"Vill Belahi Dih, P.S. Kateya, Dist. Gopalganj",,,Independent
AJAY KUMAR RAVIKANT,http://myneta.info/bih2005/candidate.php?candidate_id=822,Warsaliganj,JD(U),1,Graduate Professional,620000,0,620000,242,GEN,NA,NA,,false,true,Male,,,,,,Bihar,2005,false,Shri Kant Sharma,31,"Warsaliganj , District - Nawada",,,Janata Dal (United)
AJAY KUMAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=846,Ziradei,BSP,0,Post Graduate,1000,0,1000,32,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Ram Pravesh Singh,34,"vill-satvar tole sagrampur,District - Siwan",,,Bahujan Samaj Party
AJAY KUMAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=681,Jagdishpur,LJP,0,Post Graduate,928015,0,928015,204,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Raj Kishor Narayan Singh,36,"Babhanion, Dist. Bhojpur",,,Lok Janshakti Party
AJAY KUMAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=1117,Amarpur,IND,0,12th Pass,4491970,971469,3520501,154,GEN,NA,NA,,true,false,Male,,,,,,Bihar,2005,false,Kamla Prasad Singh,68,"Vill & PO.Kurmadi P.S.Shanduganj, Dist.Banka",,,Independent
AJAY KUMAR YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=1359,Belaganj,IND,0,10th Pass,655000,0,655000,229,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Ramchandra Prasad Yadav,37,"Jafar, Sukran Bigha",,,Independent
AJAY MAHTO,http://myneta.info/bih2005/candidate.php?candidate_id=1797,Mokameh,SHS,2,12th Pass,147355,0,147355,183,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Ram Balak Mahto,32,"Village Gosai, Po.Dhanakdom, PS.Goshgari, Dist.Patna",,,Shivsena
AJAY NISHAD,http://myneta.info/bih2005/candidate.php?candidate_id=268,Kurhani,RJD,0,10th Pass,9055395,838395,8217000,57,GEN,NA,NA,,true,false,Male,,,,,,Bihar,2005,false,SRI CAPTAIN JAI NARAIN PARSAD NISHAD,37,"PREM NIWAS, MOHALLA HATHSARGANJ, PO. HAJIPUR NAGAR, DIST. VAISHALI",,,Rashtriya Janata Dal
AJAY PASWAN,http://myneta.info/bih2005/candidate.php?candidate_id=133,Fatehpur,RJD,0,10th Pass,523125,421391,101734,237,SC,NA,NA,,false,false,Male,,,,,,Bihar,2005,true,JHOURI PASWAN`,32,VILL GEHLAOUR PO AAIR PS AATARI DIST GAYA BIHAR,,,Rashtriya Janata Dal
AJAY SHRIVASTAV,http://myneta.info/bih2005/candidate.php?candidate_id=572,Bhagalpur,BSP,0,Graduate,677000,1050000,-373000,150,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Shri Bharat Parsad Shrivastabv,28,"kirshi college campas sabor,Dist-Bhagalpur",,,Bahujan Samaj Party
AJAY SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=1022,Ghosi : Bye-election on 15-09-2009,JD(U),3,10th Pass,2762841,72000,2690841,228,GEN,NA,NA,,true,true,Male,,,,,,Bihar,2005,false,Late.Ramdahin Singh,43,"Village-Lat,P.O. & P.S.-Hulasganj,Distt.-Jehanabad",,,Janata Dal (United)
AJAY SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=166,Ghosi,RJD,3,10th Pass,2837365,225000,2612365,228,GEN,NA,NA,,true,true,Male,,,,,,Bihar,2005,false,Late Ramdahin Singh,39,"VILLAGE-LAT, POST AND P.S.-HULASGANJ, DISTT.- JAHANABAD",,,Rashtriya Janata Dal
AJAY SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=1958,Chapra,IJP,1,10th Pass,276100,0,276100,41,GEN,NA,NA,,false,true,Male,,,,,,Bihar,2005,false,Trilok Singh,37,Gram.KhalpurWala Post.Golden Ganj Chapra Muhasil Jilla.Saran,,,Indian Justice Party
AJAY YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=1736,Nawada,IND,0,Literate,65000,0,65000,239,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Ram Swaroop Yadav,31,"Gr.Padriya, Po.Nardiganj, Dist.Nawada",,,Independent
AJEET KUMAR YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=1981,Marhaura,IND,0,Graduate,741000,0,741000,39,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Bhishma Prasad Yadav,29,"Vill Assaiya, PO & P.S. Marhaura, Dist. Saran Bihar",,,Independent
AJIT  RAY,http://myneta.info/bih2005/candidate.php?candidate_id=1204,Piro,IND,0,8th Pass,202500,0,202500,205,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Daroga Ray,37,"Vill. Piro, P.S. Piro, Dist. Bhojpur",,,Independent
AJIT KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=269,Kanti,JD(U),0,Graduate,761617,0,761617,56,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,true,GAYA CHOUDHARY,37,"VILLAGE - MADHUBAN SAMNATH DHAMAOLI , DISTT. MUZFFARPUR",,,Janata Dal (United)
AJIT KUMAR JHA,http://myneta.info/bih2005/candidate.php?candidate_id=409,Sheohar,RJD,0,Post Graduate,9232378,1066069,8166309,66,GEN,NA,NA,,true,false,Male,,,,,,Bihar,2005,true,Sri Raghunath Jha,45,"Village - amba kala, distt. Sheohar",,,Rashtriya Janata Dal
AJIT KUMAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=1993,Masrakh,SP,0,Post Graduate,253500,0,253500,37,GEN,NA,NA,,true,false,Male,,,,,,Bihar,2005,false,BINDHYACHAL SINGH,45,"VILLAGE KARALPURA,POST-MASRAKH, DIST- SARAN",,,Samajwadi Party
AJITABH KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=1778,Dinapur,IND,0,Literate,51000,0,51000,191,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Baikunth Pd. Yadav,30,"Sadikpur, Rukanpura, Thana Danapur, Dist.Patna",,,Independent
AJNEYA ANAND,http://myneta.info/bih2005/candidate.php?candidate_id=1560,Kishanganj,SHS,1,8th Pass,271000,0,271000,122,GEN,NA,NA,,false,true,Male,,,,,,Bihar,2005,false,Vijay Kumar Singh,27,"Vill.and Po.Naya Noyour, PS. Uda Kishanganj, Dist. Madhepura",,,Shivsena
AKHALAQUR RAHAMAN,http://myneta.info/bih2005/candidate.php?candidate_id=1071,Kurtha,IJP,0,12th Pass,148700,0,148700,225,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Abdul Quyam Ansari,39,"Vill.Nagla, Po.Nagla Ki Ngala, Dist.Arwal",,,Indian Justice Party
AKHALESH JHA,http://myneta.info/bih2005/candidate.php?candidate_id=1863,Kasba,IND,0,10th Pass,11000,0,11000,138,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Naresh Jha,40,"Gandhi Nagar, Madhubani, Po. Purnea, P.S. K.Hat, Purnea Bihar",,,Independent
AKHATARUL IMAN,http://myneta.info/bih2005/candidate.php?candidate_id=209,Kishanganj,RJD,0,Post Graduate,818000,146852,671148,122,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,true,A. RASHID,40,"MAUDHO, DISTT.-KISHANGANJ",,,Rashtriya Janata Dal
AKHILESH KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=1062,Arwal,IND,0,Literate,20000,0,20000,224,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Ram Surat Ram,28,"Gadtopur, Po.Kharpur, P.S.Khaspi, Dist.Arwal",,,Independent
AKHLAQUE AHMAD,http://myneta.info/bih2005/candidate.php?candidate_id=346,Bikramganj,RJD,2,Graduate,476613,72827,403786,208,GEN,NA,NA,,false,true,Male,,,,,,Bihar,2005,false,Late Jubair Ahmad  Khan,53,"Vill + P.O. Ghusia Kala, P.S. Bikramganj, Distt. Rohtas",,,Rashtriya Janata Dal
AKSHAIBAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=1453,Bhabhua,IND,0,10th Pass,1014000,0,1014000,212,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Moti Singh,59,"Vill Akhalaspur, Po. Akhalaspur, P.S. Bhabhua, Dist. Kaimur Bihar",,,Independent
ALANANDAN PASWAN,http://myneta.info/bih2005/candidate.php?candidate_id=2005,Barbigha,IND,0,Graduate,47000,0,47000,174,SC,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Ram Swaroop Paswan,27,"Gr.Konnandanpur, Thana Pakri, Kasba, Dist.Nawada",,,Independent
ALANOOR,http://myneta.info/bih2005/candidate.php?candidate_id=1419,Mirganj,IND,0,10th Pass,600000,0,600000,23,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Jamadar Miya,39,Vrundhakam (Gopalganj),,,Independent
ALI AHMAD,http://myneta.info/bih2005/candidate.php?candidate_id=1596,Madhepur,SP,0,10th Pass,2571000,0,2571000,83,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Fajal Karim,53,"Kasera Pokhar, Ward No.3, Madhubani",,,Samajwadi Party
ALI MULLAH KHAN,http://myneta.info/bih2005/candidate.php?candidate_id=2062,Basantpur,GGP,0,10th Pass,1276000,0,1276000,27,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Yasin Khan,39,"Vill.Bhoda Kala, Po.Mhiuddinpur, PS.M.Siwan, Dist.Siwan",,,Gondvana Gantantra Party
ALIM ANSARI,http://myneta.info/bih2005/candidate.php?candidate_id=673,Nathnagar,LJP,0,10th Pass,807000,0,807000,149,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Maksud Ansari,47,22 Aaur Post - Len Nathnagar  District - Bhagalpur,,,Lok Janshakti Party
ALIMUDDIN ANSARI,http://myneta.info/bih2005/candidate.php?candidate_id=1848,Baisi,SP,1,10th Pass,10000,0,10000,137,GEN,NA,NA,,false,true,Male,,,,,,Bihar,2005,false,Abdul Hafij,51,"Housing Kaloni, P.S. Hat, Dist. Purnea",,,Samajwadi Party
ALIRAZA,http://myneta.info/bih2005/candidate.php?candidate_id=1490,Kadwa,IND,0,10th Pass,135000,35000,100000,143,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Naeem  Aazad,48,"Gram.Pahalgadh, Gandhi Nagar, P.S. Kadwa, Dist. Katihar",,,Independent
ALMIN KHAN,http://myneta.info/bih2005/candidate.php?candidate_id=1038,Narpatganj,IND,0,Literate,776000,0,776000,128,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Azeemudin,50,"Vill.Marulah Pattr, P.S.Bhargams, Dist.Arari",,,Independent
AMAN KUMAR SAMAJSEVI,http://myneta.info/bih2005/candidate.php?candidate_id=2114,Kishunpur,IND,0,12th Pass,100000,0,100000,111,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Khushi Lal Jansevi,25,"At.and Po.Dighiya, PS.Nirmali, Dist.Supaul",,,Independent
AMAR DEO SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=1649,Kanti,IND,0,Graduate,260000,0,260000,56,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Tapeshwar Prasad Singh,50,"Chapra Dharmpur Yadu Post.Laskaripur P.S.Kanti, Muzaffarpur",,,Independent
AMAR KANT PASWAN,http://myneta.info/bih2005/candidate.php?candidate_id=814,Harnaut,BSP,0,10th Pass,285700,0,285700,182,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Shiv Nandan Paswan,41,"Village - Deo Bigho, District - Nalanda",,,Bahujan Samaj Party
AMAR KUMAR BHAGAT,http://myneta.info/bih2005/candidate.php?candidate_id=1443,Jamui,IND,0,12th Pass,43000,0,43000,170,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Madan Mohan Pd. Bhagat,39,"Vill.Maharajganj, Jamui",,,Independent
AMAR KUMAR PASWAN,http://myneta.info/bih2005/candidate.php?candidate_id=687,Rajpur,LJP,0,Graduate,84000,0,84000,202,SC,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Raj Narain Paswan,35,"At - Dariyapur, P.O.- Kakariya, District - Buxor",,,Lok Janshakti Party
AMAR YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=486,Nautan,RJD,1,12th Pass,1806826,364601,1442225,9,GEN,NA,NA,,true,true,Male,,,,,,Bihar,2005,false,BHAGAR YADAV,27,"PO. RAMBURWA, PS BHAIRIYA, DIST. W. CHAMPARAN",,,Rashtriya Janata Dal
AMARENDRA KR. SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=2068,Darauli,SJP(R),0,Post Graduate,1890000,0,1890000,31,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,ANAND BIHARI SINGH,55,"VILL- ARKPUR,PO-SHIOPUR,SALERO,SIWANI",,,Samajwadi Janata Party (Rashtriya)
AMARENDRA KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=1065,Arwal,IND,0,10th Pass,1000,0,1000,224,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Talkeshwar Rajak,35,"Village Koil Bhoopel, P.S.Mehandiya, Dist.Arwal",,,Independent
AMARESH KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=1318,Madhuban,IND,2,10th Pass,554000,0,554000,16,GEN,NA,NA,,false,true,Male,,,,,,Bihar,2005,false,Hari Shankar Prasad,27,"Gr.Tikam, Po.and Thana Madhuban, Dist.East Champrana",,,Independent
Amaresh Thakur,http://myneta.info/bih2005/candidate.php?candidate_id=970,Aurai : Bye-election on 10-09-2009,CPM,0,Graduate Professional,2297000,50000,2247000,62,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Suryanarayan Thakur,60,"Village and Post-Jajuar,Distt.-Muzaffarnagar",,,Communist Party of India (Marxist)
AMBIKA PRASAD,http://myneta.info/bih2005/candidate.php?candidate_id=670,Pirpainti,CPI,0,Graduate Professional,1480000,0,1480000,147,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,Late Iswari Prasad,74,"Village - Barohiya, District - Bhagalpur",,,Communist Party of India
AMBIKA PRASAD,http://myneta.info/bih2005/candidate.php?candidate_id=829,Phulwari,LJP,1,10th Pass,991427,720,990707,193,SC,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,,53,"Phulwari , District - Patna",,,Lok Janshakti Party
Ambika Singh,http://myneta.info/bih2005/candidate.php?candidate_id=1009,Ramgarh : Bye-election on 10-09-2009,RJD,4,10th Pass,4811891,500200,4311691,210,GEN,NA,NA,,false,false,Male,,,,,,Bihar,2005,true,Sant Narayan Singh,59,"Village-Bichhiya,P.O.-Pachilkhi,P.S.-Durgawati,Distt.-Kaimur",,,Rashtriya Janata Dal
AMIT KUMAR ALBELA,http://myneta.info/bih2005/candidate.php?candidate_id=1817,Patna Central,IND,2,Graduate,86217,0,86217,189,GEN,NA,NA,,true,true,Male,,,,,,Bihar,2005,false,Nathuni Mahto,35,"Kushwala Lane, Dargeh Road, PS.Suttayani, Kahandin, Patna",,,Independent
AMIT KUMAR BHARTI,http://myneta.info/bih2005/candidate.php?candidate_id=216,Kumarkhand,RJD,0,10th Pass,225000,78405,146595,115,SC,NA,NA,,false,false,Male,,,,,,Bihar,2005,false,NAVAL KISHOR BHARATI,37,"PO. BELOKALA, DIST. MADHEPURA",,,Rashtriya Janata Dal
