candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks
AJAY PASWAN,http://myneta.info/bih2005/candidate.php?candidate_id=133,Fatehpur,RJD,0,10th Pass,523125,421391,101734,237,SC,NA,NA,,false,false,Male,,,,,
AJAY SHRIVASTAV,http://myneta.info/bih2005/candidate.php?candidate_id=572,Bhagalpur,BSP,0,Graduate,677000,1050000,-373000,150,GEN,NA,NA,,false,false,Male,,,,,
AJAY SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=1022,Ghosi : Bye-election on 15-09-2009,JD(U),3,10th Pass,2762841,72000,2690841,228,GEN,NA,NA,,true,true,Male,,,,,
AJAY SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=166,Ghosi,RJD,3,10th Pass,2837365,225000,2612365,228,GEN,NA,NA,,true,true,Male,,,,,
AJAY SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=1958,Chapra,IJP,1,10th Pass,276100,0,276100,41,GEN,NA,NA,,false,true,Male,,,,,
AJAY YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=1736,Nawada,IND,0,Literate,65000,0,65000,239,GEN,NA,NA,,false,false,Male,,,,,
AJEET KUMAR YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=1981,Marhaura,IND,0,Graduate,741000,0,741000,39,GEN,NA,NA,,false,false,Male,,,,,
AJIT  RAY,http://myneta.info/bih2005/candidate.php?candidate_id=1204,Piro,IND,0,8th Pass,202500,0,202500,205,GEN,NA,NA,,false,false,Male,,,,,
AJIT KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=269,Kanti,JD(U),0,Graduate,761617,0,761617,56,GEN,NA,NA,,false,false,Male,,,,,
AJIT KUMAR JHA,http://myneta.info/bih2005/candidate.php?candidate_id=409,Sheohar,RJD,0,Post Graduate,9232378,1066069,8166309,66,GEN,NA,NA,,true,false,Male,,,,,
AJIT KUMAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=1993,Masrakh,SP,0,Post Graduate,253500,0,253500,37,GEN,NA,NA,,true,false,Male,,,,,
AJITABH KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=1778,Dinapur,IND,0,Literate,51000,0,51000,191,GEN,NA,NA,,false,false,Male,,,,,
AJNEYA ANAND,http://myneta.info/bih2005/candidate.php?candidate_id=1560,Kishanganj,SHS,1,8th Pass,271000,0,271000,122,GEN,NA,NA,,false,true,Male,,,,,
AKHALAQUR RAHAMAN,http://myneta.info/bih2005/candidate.php?candidate_id=1071,Kurtha,IJP,0,12th Pass,148700,0,148700,225,GEN,NA,NA,,false,false,Male,,,,,
AKHALESH JHA,http://myneta.info/bih2005/candidate.php?candidate_id=1863,Kasba,IND,0,10th Pass,11000,0,11000,138,GEN,NA,NA,,false,false,Male,,,,,
AKHATARUL IMAN,http://myneta.info/bih2005/candidate.php?candidate_id=209,Kishanganj,RJD,0,Post Graduate,818000,146852,671148,122,GEN,NA,NA,,false,false,Male,,,,,
AKHILESH KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=1062,Arwal,IND,0,Literate,20000,0,20000,224,GEN,NA,NA,,false,false,Male,,,,,
AKHLAQUE AHMAD,http://myneta.info/bih2005/candidate.php?candidate_id=346,Bikramganj,RJD,2,Graduate,476613,72827,403786,208,GEN,NA,NA,,false,true,Male,,,,,
AKSHAIBAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=1453,Bhabhua,IND,0,10th Pass,1014000,0,1014000,212,GEN,NA,NA,,false,false,Male,,,,,
ALANANDAN PASWAN,http://myneta.info/bih2005/candidate.php?candidate_id=2005,Barbigha,IND,0,Graduate,47000,0,47000,174,SC,NA,NA,,false,false,Male,,,,,
ALANOOR,http://myneta.info/bih2005/candidate.php?candidate_id=1419,Mirganj,IND,0,10th Pass,600000,0,600000,23,GEN,NA,NA,,false,false,Male,,,,,
ALI AHMAD,http://myneta.info/bih2005/candidate.php?candidate_id=1596,Madhepur,SP,0,10th Pass,2571000,0,2571000,83,GEN,NA,NA,,false,false,Male,,,,,
ALI MULLAH KHAN,http://myneta.info/bih2005/candidate.php?candidate_id=2062,Basantpur,GGP,0,10th Pass,1276000,0,1276000,27,GEN,NA,NA,,false,false,Male,,,,,
ALIM ANSARI,http://myneta.info/bih2005/candidate.php?candidate_id=673,Nathnagar,LJP,0,10th Pass,807000,0,807000,149,GEN,NA,NA,,false,false,Male,,,,,
ALIMUDDIN ANSARI,http://myneta.info/bih2005/candidate.php?candidate_id=1848,Baisi,SP,1,10th Pass,10000,0,10000,137,GEN,NA,NA,,false,true,Male,,,,,
ALIRAZA,http://myneta.info/bih2005/candidate.php?candidate_id=1490,Kadwa,IND,0,10th Pass,135000,35000,100000,143,GEN,NA,NA,,false,false,Male,,,,,
ALMIN KHAN,http://myneta.info/bih2005/candidate.php?candidate_id=1038,Narpatganj,IND,0,Literate,776000,0,776000,128,GEN,NA,NA,,false,false,Male,,,,,
AMAN KUMAR SAMAJSEVI,http://myneta.info/bih2005/candidate.php?candidate_id=2114,Kishunpur,IND,0,12th Pass,100000,0,100000,111,GEN,NA,NA,,false,false,Male,,,,,
AMAR DEO SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=1649,Kanti,IND,0,Graduate,260000,0,260000,56,GEN,NA,NA,,false,false,Male,,,,,
AMAR KANT PASWAN,http://myneta.info/bih2005/candidate.php?candidate_id=814,Harnaut,BSP,0,10th Pass,285700,0,285700,182,GEN,NA,NA,,false,false,Male,,,,,
AMAR KUMAR BHAGAT,http://myneta.info/bih2005/candidate.php?candidate_id=1443,Jamui,IND,0,12th Pass,43000,0,43000,170,GEN,NA,NA,,false,false,Male,,,,,
AMAR KUMAR PASWAN,http://myneta.info/bih2005/candidate.php?candidate_id=687,Rajpur,LJP,0,Graduate,84000,0,84000,202,SC,NA,NA,,false,false,Male,,,,,
AMAR YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=486,Nautan,RJD,1,12th Pass,1806826,364601,1442225,9,GEN,NA,NA,,true,true,Male,,,,,
AMARENDRA KR. SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=2068,Darauli,SJP(R),0,Post Graduate,1890000,0,1890000,31,GEN,NA,NA,,false,false,Male,,,,,
AMARENDRA KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=1065,Arwal,IND,0,10th Pass,1000,0,1000,224,GEN,NA,NA,,false,false,Male,,,,,
AMARESH KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=1318,Madhuban,IND,2,10th Pass,554000,0,554000,16,GEN,NA,NA,,false,true,Male,,,,,
Amaresh Thakur,http://myneta.info/bih2005/candidate.php?candidate_id=970,Aurai : Bye-election on 10-09-2009,CPM,0,Graduate Professional,2297000,50000,2247000,62,GEN,NA,NA,,false,false,Male,,,,,
AMBIKA PRASAD,http://myneta.info/bih2005/candidate.php?candidate_id=670,Pirpainti,CPI,0,Graduate Professional,1480000,0,1480000,147,GEN,NA,NA,,false,false,Male,,,,,
AMBIKA PRASAD,http://myneta.info/bih2005/candidate.php?candidate_id=829,Phulwari,LJP,1,10th Pass,991427,720,990707,193,SC,NA,NA,,false,false,Male,,,,,
Ambika Singh,http://myneta.info/bih2005/candidate.php?candidate_id=1009,Ramgarh : Bye-election on 10-09-2009,RJD,4,10th Pass,4811891,500200,4311691,210,GEN,NA,NA,,false,false,Male,,,,,
AMIT KUMAR ALBELA,http://myneta.info/bih2005/candidate.php?candidate_id=1817,Patna Central,IND,2,Graduate,86217,0,86217,189,GEN,NA,NA,,true,true,Male,,,,,
AMIT KUMAR BHARTI,http://myneta.info/bih2005/candidate.php?candidate_id=216,Kumarkhand,RJD,0,10th Pass,225000,78405,146595,115,SC,NA,NA,,false,false,Male,,,,,
AMIT RANA,http://myneta.info/bih2005/candidate.php?candidate_id=62,Gopalpur,RJD,0,Graduate,927219,0,927219,151,GEN,NA,NA,,false,false,Male,,,,,
AMITESH CHAUDHARY,http://myneta.info/bih2005/candidate.php?candidate_id=1843,Phulwari,IND,0,Graduate,0,0,0,193,SC,NA,NA,,false,false,Male,,,,,
AMJAD ALI,http://myneta.info/bih2005/candidate.php?candidate_id=1873,Purnea,IND,0,Literate,60000,0,60000,139,GEN,NA,NA,,false,false,Male,,,,,
AMRENDAR KUMAR PATHAK,http://myneta.info/bih2005/candidate.php?candidate_id=1598,Madhepur,JD(S),0,Post Graduate,405000,0,405000,83,GEN,NA,NA,,false,false,Male,,,,,
AMRENDRA KUMAR AMAR,http://myneta.info/bih2005/candidate.php?candidate_id=509,Bachwara,BJP,0,Post Graduate,3064000,0,3064000,107,GEN,NA,NA,,false,false,Male,,,,,
AMRENDRA KUMAR PANDEY,http://myneta.info/bih2005/candidate.php?candidate_id=149,Kateya,BSP,1,12th Pass,1876099,56665,1819434,21,GEN,NA,NA,,false,true,Male,,,,,
AMRENDRA KUMAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=2011,Sheohar,IND,0,Graduate,656000,30000,626000,66,GEN,NA,NA,,false,false,Male,,,,,
AMRENDRA PRATAP SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=71,Arrah,BJP,2,Graduate,1009520,23173,986347,198,GEN,NA,NA,,true,true,Male,,,,,
AMRENDRA SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=502,Atri,LJP,0,Graduate,1196600,51000,1145600,238,GEN,NA,NA,,false,false,Male,,,,,
AMZAD HUSSAIN ANWAR,http://myneta.info/bih2005/candidate.php?candidate_id=422,Sonbarsa,BSP,0,Graduate,1404900,0,1404900,121,GEN,NA,NA,,true,false,Male,,,,,
ANAND BHUSHAN PANDEY,http://myneta.info/bih2005/candidate.php?candidate_id=180,Bhabhua,BJP,0,Graduate,365000,12047,352953,212,GEN,NA,NA,,false,false,Male,,,,,
ANAND KUMAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=908,Karakat,RJD,1,10th Pass,1229,0,1229,207,GEN,NA,NA,,false,false,Male,,,,,
ANAND MOHAN SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=354,Nokha,RJD,0,12th Pass,1564000,563335,1000665,216,GEN,NA,NA,,false,false,Male,,,,,
ANAND SAHU,http://myneta.info/bih2005/candidate.php?candidate_id=1228,Brahmpur,IND,0,10th Pass,125990,0,125990,200,GEN,NA,NA,,false,false,Male,,,,,
ANANDI PRASAD YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=1050,Sikti,NCP,2,12th Pass,656605,55326,601279,131,GEN,NA,NA,,false,true,Male,,,,,
ANANT KUMAR SATYARTHI,http://myneta.info/bih2005/candidate.php?candidate_id=249,Kharagpur,JD(U),0,Graduate,1391500,133200,1258300,162,GEN,NA,NA,,false,false,Male,,,,,
ANANT LAL MANDAL,http://myneta.info/bih2005/candidate.php?candidate_id=1054,Sikti,IND,0,12th Pass,20000,2000,18000,131,GEN,NA,NA,,false,false,Male,,,,,
ANIL CHAUDHARY,http://myneta.info/bih2005/candidate.php?candidate_id=49,Cheria Bariarpur,LJP,0,12th Pass,501000,25437,475563,108,GEN,NA,NA,,false,false,Male,,,,,
ANIL DAS,http://myneta.info/bih2005/candidate.php?candidate_id=1175,Sultanganj,IND,0,8th Pass,26000,0,26000,153,SC,NA,NA,,false,false,Male,,,,,
ANIL KR. DAS,http://myneta.info/bih2005/candidate.php?candidate_id=939,Parsa,BSP,4,10th Pass,138550,0,138550,43,GEN,NA,NA,,false,true,Male,,,,,
ANIL KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=2122,Raghopur,IND,0,Post Graduate,950000,0,950000,110,GEN,NA,NA,,false,false,Male,,,,,
ANIL KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=151,Bhore,RJD,0,Graduate,2909953,120000,2789953,22,SC,NA,NA,,true,false,Male,,,,,
ANIL KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=1774,Bikram,IND,0,Graduate,105000,0,105000,194,GEN,NA,NA,,false,false,Male,,,,,
ANIL KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=305,Bikram,BJP,0,Graduate,3147000,415656,2731344,194,GEN,NA,NA,,true,false,Male,,,,,
ANIL KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=1570,Madhepura,IND,0,8th Pass,220000,0,220000,120,GEN,NA,NA,,false,false,Male,,,,,
ANIL KUMAR (AKOUNA BAZAR),http://myneta.info/bih2005/candidate.php?candidate_id=1734,Nawada,IND,0,Literate,225150,0,225150,239,GEN,NA,NA,,false,false,Male,,,,,
ANIL KUMAR (PANTI),http://myneta.info/bih2005/candidate.php?candidate_id=1739,Nawada,IND,0,Literate,132000,0,132000,239,GEN,NA,NA,,false,false,Male,,,,,
ANIL KUMAR BHASKAR,http://myneta.info/bih2005/candidate.php?candidate_id=612,Chhatapur,BSP,0,12th Pass,175500,0,175500,114,SC,NA,NA,,false,false,Male,,,,,
ANIL KUMAR CHAUDHARY,http://myneta.info/bih2005/candidate.php?candidate_id=1284,Manigachhi,IND,0,10th Pass,254500,1400,253100,84,GEN,NA,NA,,false,false,Male,,,,,
ANIL KUMAR MANJHI,http://myneta.info/bih2005/candidate.php?candidate_id=1969,Garkha,IND,0,8th Pass,60000,0,60000,42,SC,NA,NA,,false,false,Male,,,,,
ANIL KUMAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=2071,Darauli,IND,1,Graduate,240000,49000,191000,31,GEN,NA,NA,,false,true,Male,,,,,
Anil Kumar Singh,http://myneta.info/bih2005/candidate.php?candidate_id=983,Begusarai : Bye-election on 15-09-2009,NCP,2,10th Pass,29529000,520000,29009000,105,GEN,NA,NA,,true,true,Male,,,,,
ANIL KUMAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=790,Tarapur,LJP,0,12th Pass,1240000,353000,887000,161,GEN,NA,NA,,false,false,Male,,,,,
ANIL KUMAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=1118,Amarpur,SP,0,Graduate,91000,0,91000,154,GEN,NA,NA,,false,false,Male,,,,,
ANIL KUMAR SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=326,Barh,RJD,1,12th Pass,2727740,139635,2588105,184,GEN,NA,NA,,false,true,Male,,,,,
ANIL KUMAR SINHA,http://myneta.info/bih2005/candidate.php?candidate_id=1838,Patna West,IND,0,Post Graduate,435300,2500,432800,188,GEN,NA,NA,,false,false,Male,,,,,
ANIL KUMAR YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=4,Narpatganj,RJD,0,Graduate,4407500,366672,4040828,128,GEN,NA,NA,,true,false,Male,,,,,
ANIL MANI TRIPATHI,http://myneta.info/bih2005/candidate.php?candidate_id=618,Darauli,BSP,0,Post Graduate,942850,0,942850,31,GEN,NA,NA,,false,false,Male,,,,,
ANIL RAM,http://myneta.info/bih2005/candidate.php?candidate_id=1976,Manjhi,IND,0,10th Pass,60000,46000,14000,35,GEN,NA,NA,,false,false,Male,,,,,
ANIL SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=301,Hisua,BJP,6,Not Given,1700000,110000,1590000,243,GEN,NA,NA,,true,true,Male,,,,,
ANIL SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=599,Chandi,NCP,0,Graduate,2165863,314130,1851733,181,GEN,NA,NA,,true,false,Male,,,,,
ANIRUDDHA PRASAD YADAV,http://myneta.info/bih2005/candidate.php?candidate_id=445,Kishunpur,JD(U),0,12th Pass,2698495,0,2698495,111,GEN,NA,NA,,true,false,Male,,,,,
ANIRUDH KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=324,Bakhtiarpur,RJD,3,12th Pass,10364000,285475,10078525,185,GEN,NA,NA,,false,true,Male,,,,,
ANIRUDH SAHANI,http://myneta.info/bih2005/candidate.php?candidate_id=713,Gobindganj,RJD,0,12th Pass,1440000,0,1440000,20,GEN,NA,NA,,false,false,Male,,,,,
ANIS AHMAD,http://myneta.info/bih2005/candidate.php?candidate_id=228,Laukaha,RJD,0,Graduate,1426800,180000,1246800,82,GEN,NA,NA,,false,false,Male,,,,,
ANISH KR.  DWIVEDI,http://myneta.info/bih2005/candidate.php?candidate_id=1410,Gopalganj,ABHM,1,10th Pass,235000,27000,208000,24,GEN,NA,NA,,false,false,Male,,,,,
ANITA DEVI,http://myneta.info/bih2005/candidate.php?candidate_id=450,Tribeniganj,RJD,0,Post Graduate,2389096,25000,2364096,113,GEN,NA,NA,,false,false,Female,,,,,
ANITA DEVI,http://myneta.info/bih2005/candidate.php?candidate_id=792,Kharagpur,LJP,0,5th Pass,334000,0,334000,162,GEN,NA,NA,,false,false,Female,,,,,
ANITA KUMARI,http://myneta.info/bih2005/candidate.php?candidate_id=1831,Patna West,CPI(ML)(L),1,Post Graduate,401647,0,401647,188,GEN,NA,NA,,false,false,Female,,,,,
Anita Ram,http://myneta.info/bih2005/candidate.php?candidate_id=979,Warisnagar : Bye-election on 10-09-2009,INC,0,Graduate,1595394,0,1595394,94,SC,NA,NA,,true,false,Female,,,,,
ANJANI SINHA,http://myneta.info/bih2005/candidate.php?candidate_id=862,Vaishali,LJP,0,10th Pass,2188946,24404,2164542,52,GEN,NA,NA,,false,false,Female,,,,,
ANJJANI KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=655,Kurtha,LJP,0,Graduate,750000,0,750000,225,GEN,NA,NA,,true,false,Male,,,,,
ANKLESH GIRI,http://myneta.info/bih2005/candidate.php?candidate_id=1225,Brahmpur,SHS,0,Post Graduate,220000,24000,196000,200,GEN,NA,NA,,false,false,Male,,,,,
ANMARESH KUMAR,http://myneta.info/bih2005/candidate.php?candidate_id=1161,Gopalpur,PTSS,0,Graduate,150000,0,150000,151,GEN,NA,NA,,false,false,Male,,,,,
ANOOP LAL GUPTA,http://myneta.info/bih2005/candidate.php?candidate_id=1516,Chautham,IND,0,10th Pass,811000,0,811000,164,GEN,NA,NA,,false,false,Male,,,,,
ANUJ SINGH,http://myneta.info/bih2005/candidate.php?candidate_id=1072,Kurtha,IND,0,Graduate,50000,0,50000,225,GEN,NA,NA,,false,false,Female,,,,,
ANURADHA DEVI,http://myneta.info/bih2005/candidate.php?candidate_id=642,Dumraon,BSP,0,Literate,3399900,0,3399900,203,GEN,NA,NA,,false,false,Female,,,,,
ANWAR ALI KHAN,http://myneta.info/bih2005/candidate.php?candidate_id=715,Gurua,LJP,11,10th Pass,1459880,0,1459880,234,GEN,NA,NA,,false,true,Male,,,,,
ANWAR HUSSAIN,http://myneta.info/bih2005/candidate.php?candidate_id=1058,Arwal,CPI(ML)(L),0,Graduate,7400,0,7400,224,GEN,NA,NA,,false,false,Male,,,,,
ANZAR AHMAD KHAN,http://myneta.info/bih2005/candidate.php?candidate_id=779,Jhanjharpur,LJP,0,10th Pass,85000,6000,79000,80,GEN,NA,NA,,false,false,Male,,,,,
AQUIL AHMAD,http://myneta.info/bih2005/candidate.php?candidate_id=917,Mahishi,LJP,0,12th Pass,33485,0,33485,118,GEN,NA,NA,,false,false,Male,,,,,
AQUIL HAIDER,http://myneta.info/bih2005/candidate.php?candidate_id=316,Patna Central,NCP,0,Graduate,651769,0,651769,189,GEN,NA,NA,,true,false,Male,,,,,
