candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_district,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Anil Sarkar,http://myneta.info/tripura2013/candidate.php?candidate_id=92,PRATAPGARH (SC),CPI(M),0,Post Graduate,6705063,405011,6300052,13,SC,West Tripura,Tripura West,false,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=92&id2=111,6705063,2671800,4033263,151%,Party in last election was CPM
Animesh Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=139,RAMCHANDRAGHAT (ST),IND,0,Graduate Professional,1895000,1000000,895000,24,ST,Khowai,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Arijit Nath,http://myneta.info/tripura2013/candidate.php?candidate_id=84,KADAMTALA-KURTI,BJP,0,Post Graduate,2237065,326000,1911065,54,GEN,North Tripura,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Arun Kumar Chakma,http://myneta.info/tripura2013/candidate.php?candidate_id=105,PECHARTHAL (ST),CPI(M),0,Graduate,2133389,881551,1251838,59,ST,North Tripura,Tripura East,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=105&id2=208,2133389,947066,1186323,125%,Party in last election was CPM
Asish Kumar Saha,http://myneta.info/tripura2013/candidate.php?candidate_id=7,TOWN BARDOWALI,INC,0,12th Pass,2862569,69621,2792948,8,GEN,West Tripura,Tripura West,true,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=7&id2=314,2862569,2303049,559520,24%,NA
Asit Das,http://myneta.info/tripura2013/candidate.php?candidate_id=278,BADHARGHAT (SC),SUCI(C),0,Post Graduate,1000,0,1000,14,SC,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Asit Ranjan Deb,http://myneta.info/tripura2013/candidate.php?candidate_id=281,BISHALGARH,Amra Bangalee,0,8th Pass,262800,415000,-152200,16,GEN,Sipahijala,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Atul Das,http://myneta.info/tripura2013/candidate.php?candidate_id=188,SURMA (SC),IND,0,8th Pass,5500,0,5500,46,SC,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Avijit Deb,http://myneta.info/tripura2013/candidate.php?candidate_id=14,SURYAMANINAGAR,INC,3,Graduate,927434,0,927434,18,GEN,Sipahijala,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Babul Banik,http://myneta.info/tripura2013/candidate.php?candidate_id=282,SURYAMANINAGAR,SUCI(C),0,10th Pass,0,0,0,18,GEN,Sipahijala,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Babul Chandra Paul,http://myneta.info/tripura2013/candidate.php?candidate_id=168,BELONIA,CPI(ML)(L),0,8th Pass,298215,68408,229807,35,GEN,South Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Badal Choudhury,http://myneta.info/tripura2013/candidate.php?candidate_id=171,HRISHYAMUKH,CPI(M),0,12th Pass,5307085,848424,4458661,37,GEN,South Tripura,Tripura East,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=171&id2=75,5307085,2696076,2611009,97%,Party in last election was CPM
Balaram Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=121,MAJLISHPUR,IPFT,0,8th Pass,310000,0,310000,10,GEN,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Baptu Chakraborty,http://myneta.info/tripura2013/candidate.php?candidate_id=113,KHAYERPUR,INC,1,Post Graduate,46672,0,46672,5,GEN,West Tripura,Tripura West,true,true,false,Male,NA,NA,NA,NA,NA,NA
Basindra Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=122,MANDAI BAZAR (ST),IPFT,0,10th Pass,70743,0,70743,11,ST,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Basudev Majumder,http://myneta.info/tripura2013/candidate.php?candidate_id=165,BELONIA,CPI(M),0,Graduate,1331160,941744,389416,35,GEN,South Tripura,Tripura West,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=165&id2=69,1331160,2220794,-889634,-40%,Party in last election was CPM
Bhagaban Das,http://myneta.info/tripura2013/candidate.php?candidate_id=80,PABIACHARA (SC),BJP,0,8th Pass,188000,25000,163000,50,SC,Unakoti,Tripura East,true,true,false,Male,NA,NA,NA,NA,NA,NA
Bhalu Rani Dey,http://myneta.info/tripura2013/candidate.php?candidate_id=73,SABROOM,BJP,0,8th Pass,148250,0,148250,40,GEN,South Tripura,Tripura East,false,false,false,Female,NA,NA,NA,NA,NA,NA
Bhanulal Saha,http://myneta.info/tripura2013/candidate.php?candidate_id=127,BISHALGARH,CPI(M),0,Graduate Professional,3803959,0,3803959,16,GEN,Sipahijala,Tripura West,false,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=127&id2=92,3803959,714810,3089149,432%,PAN was missing last time Party in last election was CPM
Bhupesh Debnath,http://myneta.info/tripura2013/candidate.php?candidate_id=271,MOHANPUR,Amra Bangalee,0,Graduate,32988,0,32988,2,GEN,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Biaswajit Deb Roy,http://myneta.info/tripura2013/candidate.php?candidate_id=63,TELIAMURA,BJP,0,10th Pass,225000,30000,195000,28,GEN,Khowai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Bibekananda Choudhuri,http://myneta.info/tripura2013/candidate.php?candidate_id=9,MAJLISHPUR,INC,0,12th Pass,2832295,0,2832295,10,GEN,West Tripura,Tripura West,true,true,false,Male,NA,NA,NA,NA,NA,NA
Bibhash Rn Das,http://myneta.info/tripura2013/candidate.php?candidate_id=295,DHARMANAGAR,Amra Bangalee,0,8th Pass,1195000,0,1195000,56,GEN,North Tripura,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Bibhu Lal Dey,http://myneta.info/tripura2013/candidate.php?candidate_id=288,RADHAKISHORPUR,SUCI(C),0,8th Pass,524357,0,524357,31,GEN,South Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Bidhu Chandra Das,http://myneta.info/tripura2013/candidate.php?candidate_id=293,SURMA (SC),Amra Bangalee,0,8th Pass,551600,30550,521050,46,SC,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Bidyut Das,http://myneta.info/tripura2013/candidate.php?candidate_id=55,BADHARGHAT (SC),BJP,0,10th Pass,21100,0,21100,14,SC,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Bijita Nath,http://myneta.info/tripura2013/candidate.php?candidate_id=215,BAGBASSA,CPI(M),0,Graduate,1111752,500000,611752,55,GEN,North Tripura,Tripura East,true,true,false,Female,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=215&id2=132,1111752,147000,964752,656%,PAN was missing last time Party in last election was CPM
Bijoy Das,http://myneta.info/tripura2013/candidate.php?candidate_id=290,AMARPUR,Amra Bangalee,0,8th Pass,106100,0,106100,42,GEN,Gomati,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Bijoy Kumar Hrangkhawl,http://myneta.info/tripura2013/candidate.php?candidate_id=190,AMBASSA (ST),INPT,0,10th Pass,6796374,1600000,5196374,47,ST,Dhalai,Tripura East,false,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=190&id2=240,6796374,2092586,4703788,225%,PAN was missing last time
Bijoy Lakshmi Singha,http://myneta.info/tripura2013/candidate.php?candidate_id=185,KAMALPUR,CPI(M),0,8th Pass,1518578,1503677,14901,45,GEN,Dhalai,Tripura East,false,true,false,Female,NA,NA,NA,NA,NA,NA
Bikram Bairagi,http://myneta.info/tripura2013/candidate.php?candidate_id=50,BAMUTIA (SC),BJP,0,8th Pass,20000,0,20000,3,SC,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Bilas Bindu Malakar,http://myneta.info/tripura2013/candidate.php?candidate_id=202,PABIACHARA (SC),IND,0,8th Pass,5000,0,5000,50,SC,Unakoti,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Billal Mia,http://myneta.info/tripura2013/candidate.php?candidate_id=16,BOXANAGAR,INC,0,Graduate,30640308,1399000,29241308,20,GEN,Sipahijala,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Bimal Chandra Das,http://myneta.info/tripura2013/candidate.php?candidate_id=272,BAMUTIA (SC),Amra Bangalee,0,10th Pass,75000,0,75000,3,SC,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Bimal Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=265,AMBASSA (ST),IND,0,8th Pass,5800,0,5800,47,ST,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Biplab Ch. Sarkar,http://myneta.info/tripura2013/candidate.php?candidate_id=277,PRATAPGARH (SC),IND,0,Post Graduate,1301665,60000,1241665,13,SC,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Biplab Kumar Ghosh,http://myneta.info/tripura2013/candidate.php?candidate_id=159,MATARBARI,INC,0,12th Pass,92943331,113112,92830219,32,GEN,Gomati,Tripura West,true,true,false,Male,NA,NA,NA,NA,NA,NA
Biplab Roy,http://myneta.info/tripura2013/candidate.php?candidate_id=285,KALYANPUR-PRAMODNAGAR,Amra Bangalee,0,Graduate,124502,0,124502,27,GEN,Khowai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Birajit Sinha,http://myneta.info/tripura2013/candidate.php?candidate_id=41,KAILASHAHAR,INC,2,12th Pass,15902683,1456880,14445803,53,GEN,Unakoti,Tripura East,true,true,true,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=41&id2=173,15902683,14143086,1759597,12%,PAN is Different
Bishnu Pada Roy,http://myneta.info/tripura2013/candidate.php?candidate_id=266,FATIKROY (SC),CPI(ML)(L),0,8th Pass,15000,0,15000,51,SC,Unakoti,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Biswabandhu Sen,http://myneta.info/tripura2013/candidate.php?candidate_id=44,DHARMANAGAR,INC,2,Graduate,22555266,383291,22171975,56,GEN,North Tripura,Tripura East,true,true,true,Male,NA,NA,NA,NA,NA,NA
Brajalal Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=240,TAKARJALA (ST),IPFT,0,12th Pass,270000,0,270000,12,ST,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Brajendra Mog Chaudhuri,http://myneta.info/tripura2013/candidate.php?candidate_id=30,JOLAIBARI (ST),INC,0,Post Graduate,979033,0,979033,38,ST,South Tripura,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Budhu Kumar Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=129,GOLAGHATI (ST),IPFT,0,8th Pass,1488036,501043,986993,17,ST,Sipahijala,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Bugerai Reang,http://myneta.info/tripura2013/candidate.php?candidate_id=291,RAIMA VALLEY (ST),IND,0,5th Pass,129100,0,129100,44,ST,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Chandan Das,http://myneta.info/tripura2013/candidate.php?candidate_id=247,NALCHAR (SC),SP,0,10th Pass,400300,42000,358300,21,SC,Sipahijala,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Chandi Charan Tripura,http://myneta.info/tripura2013/candidate.php?candidate_id=31,MANU (ST),INC,2,10th Pass,4686100,0,4686100,39,ST,South Tripura,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Charendra Reang,http://myneta.info/tripura2013/candidate.php?candidate_id=255,KARBOOK (ST),IND,0,8th Pass,57502,0,57502,43,ST,Gomati,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Chiranjib Bhattacharjee,http://myneta.info/tripura2013/candidate.php?candidate_id=267,CHANDIPUR,CPI(ML)(L),0,Graduate Professional,2113000,0,2113000,52,GEN,Unakoti,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Chiranjoy Reang,http://myneta.info/tripura2013/candidate.php?candidate_id=192,KARAMCHARA (ST),IND,0,8th Pass,2500,0,2500,48,ST,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Daniel Jamatia,http://myneta.info/tripura2013/candidate.php?candidate_id=102,AMPINAGAR (ST),CPI(M),0,Graduate,1757181,690666,1066515,41,ST,Gomati,Tripura East,false,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=102&id2=58,1757181,1276164,481017,38%,PAN was missing last time Party in last election was CPM
Debajit Roy,http://myneta.info/tripura2013/candidate.php?candidate_id=274,TOWN BARDOWALI,Amra Bangalee,0,Others,53937,0,53937,8,GEN,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Dhanabhakti Jamatiya,http://myneta.info/tripura2013/candidate.php?candidate_id=61,ASHARAMBARI (ST),BJP,0,10th Pass,6500,0,6500,26,ST,Khowai,Tripura East,false,false,false,Female,NA,NA,NA,NA,NA,NA
Dhananjoy Bhowmik,http://myneta.info/tripura2013/candidate.php?candidate_id=237,MAJLISHPUR,BJP,0,Post Graduate,620576,0,620576,10,GEN,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Dharjaroy Tripura,http://myneta.info/tripura2013/candidate.php?candidate_id=181,KARBOOK (ST),INPT,0,10th Pass,250000,0,250000,43,ST,Gomati,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Dhirendra Debnath,http://myneta.info/tripura2013/candidate.php?candidate_id=49,MOHANPUR,BJP,0,8th Pass,36000,0,36000,2,GEN,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Diba Chandra Hrangkhawl,http://myneta.info/tripura2013/candidate.php?candidate_id=36,KARAMCHARA (ST),INC,0,12th Pass,6697,0,6697,48,ST,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Dilip Sarkar,http://myneta.info/tripura2013/candidate.php?candidate_id=11,BADHARGHAT (SC),INC,2,12th Pass,45846716,983835,44862881,14,SC,West Tripura,Tripura West,false,false,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=11&id2=85,45846716,25484972,20361744,80%,Age Difference=2
Dinesh Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=248,ASHARAMBARI (ST),IND,0,12th Pass,211000,150000,61000,26,ST,Khowai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Dipak Kumar Roy,http://myneta.info/tripura2013/candidate.php?candidate_id=12,KAMALASAGAR,INC,1,12th Pass,1780107,500000,1280107,15,GEN,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Dipak Majumder,http://myneta.info/tripura2013/candidate.php?candidate_id=20,KHOWAI,INC,0,Graduate,5237157,355780,4881377,25,GEN,Khowai,Tripura East,true,true,false,Male,NA,NA,NA,NA,NA,NA
Drao Kumar Reang,http://myneta.info/tripura2013/candidate.php?candidate_id=221,KANCHANPUR (ST),INPT,0,Graduate,611100,0,611100,60,ST,North Tripura,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Dulal Chandra Talapatra,http://myneta.info/tripura2013/candidate.php?candidate_id=276,BANAMALIPUR,Amra Bangalee,0,Graduate,657900,0,657900,9,GEN,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Durga Charan Deb,http://myneta.info/tripura2013/candidate.php?candidate_id=83,KAILASHAHAR,BJP,0,10th Pass,2116000,0,2116000,53,GEN,Unakoti,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Falguni Tripura,http://myneta.info/tripura2013/candidate.php?candidate_id=262,KARBOOK (ST),CPI(ML)(L),0,12th Pass,65600,0,65600,43,ST,Gomati,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Fayzur Rohaman,http://myneta.info/tripura2013/candidate.php?candidate_id=211,KADAMTALA-KURTI,CPI(M),0,10th Pass,1549264,858884,690380,54,GEN,North Tripura,Tripura East,false,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=211&id2=139,1549264,261072,1288192,493%,Age Difference=3 PAN was missing last time Party in last election was CPM
Fazlur Rahaman,http://myneta.info/tripura2013/candidate.php?candidate_id=269,KADAMTALA-KURTI,CPI(ML)(L),0,12th Pass,449000,0,449000,54,GEN,North Tripura,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Gajendra Tripura,http://myneta.info/tripura2013/candidate.php?candidate_id=191,KARAMCHARA (ST),CPI(M),0,5th Pass,1945745,0,1945745,48,ST,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
Ganesh Kalai,http://myneta.info/tripura2013/candidate.php?candidate_id=54,TAKARJALA (ST),BJP,0,12th Pass,1000,0,1000,12,ST,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Gita Roy,http://myneta.info/tripura2013/candidate.php?candidate_id=235,BANAMALIPUR,BJP,0,10th Pass,46515,0,46515,9,GEN,West Tripura,Tripura West,false,false,false,Female,NA,NA,NA,NA,NA,NA
Gopal Chandra Roy,http://myneta.info/tripura2013/candidate.php?candidate_id=8,BANAMALIPUR,INC,4,Graduate Professional,14663389,681734,13981655,9,GEN,West Tripura,Tripura West,true,true,true,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=8&id2=13,14663389,5422719,9240670,170%,NA
Gopal Roy,http://myneta.info/tripura2013/candidate.php?candidate_id=261,MATARBARI,CPI(ML)(L),0,10th Pass,807240,40000,767240,32,GEN,Gomati,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Gopal Sarkar,http://myneta.info/tripura2013/candidate.php?candidate_id=286,TELIAMURA,Amra Bangalee,0,12th Pass,259248,0,259248,28,GEN,Khowai,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Gouri Das,http://myneta.info/tripura2013/candidate.php?candidate_id=148,TELIAMURA,CPI(M),0,10th Pass,2411929,0,2411929,28,GEN,Khowai,Tripura East,false,false,false,Female,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=148&id2=289,2411929,1624015,787914,49%,Age Difference=8  Party in last election was CPM
Gouri Sankar Nandi,http://myneta.info/tripura2013/candidate.php?candidate_id=166,BELONIA,Amra Bangalee,0,Graduate,315044,0,315044,35,GEN,South Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Gouri Shankar Reang,http://myneta.info/tripura2013/candidate.php?candidate_id=28,SANTIRBAZAR (ST),INC,0,Graduate,2219095,53263,2165832,36,ST,South Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Gouri Shankar Roy,http://myneta.info/tripura2013/candidate.php?candidate_id=22,TELIAMURA,INC,0,Post Graduate,4412389,0,4412389,28,GEN,Khowai,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Haricharan Sarkar,http://myneta.info/tripura2013/candidate.php?candidate_id=110,BAMUTIA (SC),CPI(M),0,Graduate,2380747,892790,1487957,3,SC,West Tripura,Tripura West,false,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=110&id2=43,2380747,429950,1950797,454%,PAN was missing last time Party in last election was CPM
Himani Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=15,CHARILAM (ST),INC,0,8th Pass,10614395,3724356,6890039,19,ST,Sipahijala,Tripura West,false,true,false,Female,NA,NA,NA,NA,NA,NA
Hiramuni Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=225,SIMNA (ST),BJP,0,10th Pass,26000,0,26000,1,ST,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Jagadish Das,http://myneta.info/tripura2013/candidate.php?candidate_id=251,RAJNAGAR (SC),CPI(ML)(L),0,8th Pass,108600,5000,103600,34,SC,South Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Jagadish Debbarma,http://myneta.info/tripura2013/candidate.php?candidate_id=123,MANDAI BAZAR (ST),INPT,0,Graduate,2444438,0,2444438,11,ST,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Jahar Chakraborty,http://myneta.info/tripura2013/candidate.php?candidate_id=86,DHARMANAGAR,BJP,0,Graduate,11978443,1749602,10228841,56,GEN,North Tripura,Tripura East,true,true,false,Male,NA,NA,NA,NA,NA,NA
Jashabir Tripura,http://myneta.info/tripura2013/candidate.php?candidate_id=101,JOLAIBARI (ST),CPI(M),0,10th Pass,1514402,477343,1037059,38,ST,South Tripura,Tripura East,false,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=101&id2=255,1514402,1022441,491961,48%,Age Difference=2 PAN was missing last time Party in last election was CPM
Jiban Kumar Bhowmik,http://myneta.info/tripura2013/candidate.php?candidate_id=244,BISHALGARH,IND,0,Graduate,207200,0,207200,16,GEN,Sipahijala,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Jitendra Chaudhuri,http://myneta.info/tripura2013/candidate.php?candidate_id=174,MANU (ST),CPI(M),0,12th Pass,15501249,2824235,12677014,39,ST,South Tripura,Tripura East,false,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=174&id2=245,15501249,7815546,7685703,98%,PAN was missing last time Party in last election was CPM
Jitendra Das,http://myneta.info/tripura2013/candidate.php?candidate_id=112,BARJALA (SC),CPI(M),0,12th Pass,2168154,0,2168154,4,SC,West Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Jitendra Sarkar,http://myneta.info/tripura2013/candidate.php?candidate_id=3,BARJALA (SC),INC,0,12th Pass,12491316,0,12491316,4,SC,West Tripura,Tripura West,false,true,false,Male,NA,NA,NA,NA,NA,NA
Joy Gobinda Deb Roy,http://myneta.info/tripura2013/candidate.php?candidate_id=287,RADHAKISHORPUR,RSP,0,Graduate,3724174,1000000,2724174,31,GEN,South Tripura,Tripura West,false,true,false,Male,http://myneta.info/tripura2013/index.php?action=affidavitComparison&myneta_folder2=tripura2008&id1=287&id2=304,3724174,1560000,2164174,139%,NA
Jugal Malakar,http://myneta.info/tripura2013/candidate.php?candidate_id=39,FATIKROY (SC),INC,0,Post Graduate,666050,0,666050,51,SC,Unakoti,Tripura East,true,true,false,Male,NA,NA,NA,NA,NA,NA
Jyotirmoy Nath,http://myneta.info/tripura2013/candidate.php?candidate_id=43,BAGBASSA,INC,0,Graduate Professional,1991000,291968,1699032,55,GEN,North Tripura,Tripura East,true,true,false,Male,NA,NA,NA,NA,NA,NA
Jyotish Jamatia,http://myneta.info/tripura2013/candidate.php?candidate_id=151,BAGMA (ST),INPT,0,Others,301396,48524,252872,30,ST,South Tripura,Tripura West,false,false,false,Male,NA,NA,NA,NA,NA,NA
Kajal Chandra Das,http://myneta.info/tripura2013/candidate.php?candidate_id=21,KALYANPUR-PRAMODNAGAR,INC,0,Graduate,4547029,546682,4000347,27,GEN,Khowai,Tripura East,false,true,false,Male,NA,NA,NA,NA,NA,NA
Kalpa Mohan Tripura,http://myneta.info/tripura2013/candidate.php?candidate_id=194,KARAMCHARA (ST),IND,0,8th Pass,515000,15000,500000,48,ST,Dhalai,Tripura East,false,false,false,Male,NA,NA,NA,NA,NA,NA
