candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,party_eci
ABDUL RAJAK,http://myneta.info/2008mp/candidate.php?candidate_id=3140,Ujjain Dakshin,SP,0,8th Pass,65183,0,65183,217,GEN,UJJAIN,MALWA PLATEAU,,FALSE,FALSE,Male,Samajwadi Party
ABDUL SALAM,http://myneta.info/2008mp/candidate.php?candidate_id=2506,Panna,IND,0,12th Pass,50000,0,50000,60,GEN,PANNA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
ABDUL SAMAD S/O SHRI CHOTE/FAKRUDDIN,http://myneta.info/2008mp/candidate.php?candidate_id=2984,Sihawal,IND,0,Not Given,820000,0,820000,78,GEN,SIDHI,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
ABHAY KUMAR MISHRA,http://myneta.info/2008mp/candidate.php?candidate_id=319,Semariya,BJP,1,Graduate,26532479,650000,25882479,69,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,,TRUE,TRUE,Male,Bharatiya Janata Party
ABHAY MEHTA,http://myneta.info/2008mp/candidate.php?candidate_id=518,Ichhawar,IND,1,12th Pass,6763362,510228,6253134,158,GEN,SEHORE,VINDHYAN PLEATEAU,,TRUE,FALSE,Male,Independent
ABHAYRAJ SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=852,Gwalior South,SP,0,Post Graduate,177250,230000,-52750,17,GEN,GWALIOR,GIRD ZONE,,FALSE,FALSE,Male,Samajwadi Party
ABHDESH NAYAK,http://myneta.info/2008mp/candidate.php?candidate_id=807,Datia,BJSH,1,Graduate Professional,2060804,127000,1933804,22,GEN,DATIA,BUNDELKHAND ZONE,,TRUE,FALSE,Male,Bharatiya Jan Shakti
ABHILAKH,http://myneta.info/2008mp/candidate.php?candidate_id=1476,Bhind,IND,0,8th Pass,800000,0,800000,10,GEN,BHIND,GIRD ZONE,,FALSE,FALSE,Male,Independent
ABID SIDDIQUI,http://myneta.info/2008mp/candidate.php?candidate_id=1241,Chhatarpur,SP,0,Graduate,17934281,0,17934281,51,GEN,CHHATARPUR,BUNDELKHAND ZONE,,TRUE,FALSE,Male,Samajwadi Party
ACHELAL,http://myneta.info/2008mp/candidate.php?candidate_id=2327,Mangawan,IND,0,10th Pass,93000,0,93000,73,SC,REWA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
ADAL SINGH KANSANA,http://myneta.info/2008mp/candidate.php?candidate_id=261,Sumawali,INC,3,8th Pass,10334084,2760900,7573184,5,GEN,MORENA,GIRD ZONE,,FALSE,TRUE,Male,Indian National Congress
ADARSH MUNI TRIVEDI,http://myneta.info/2008mp/candidate.php?candidate_id=600,Jabalpur Uttar,BJSH,1,Post Graduate,960427,0,960427,98,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,,TRUE,FALSE,Male,Bharatiya Jan Shakti
ADITYA NARAYAN SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=1412,Bargi,IND,0,Graduate Professional,585120,477825,107295,96,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,,TRUE,FALSE,Male,Independent
ADITYA SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=2212,Lahar,IND,0,Post Graduate,154700,0,154700,11,GEN,BHIND,GIRD ZONE,,FALSE,FALSE,Male,Independent
ADV. AHMAD SAIED KURESHI,http://myneta.info/2008mp/candidate.php?candidate_id=2087,Keolari,IND,0,Post Graduate,1997300,150000,1847300,116,GEN,SEONI,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
ADV. BIDYAWATI PATEL,http://myneta.info/2008mp/candidate.php?candidate_id=326,Deotalab,BSP,0,Post Graduate,6776900,51000,6725900,72,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,,TRUE,FALSE,Female,Bahujan Samaj Party
ADVOCATE  DEEP CHAND GUPTA,http://myneta.info/2008mp/candidate.php?candidate_id=2341,Mauganj,IND,0,Post Graduate,4600000,0,4600000,71,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
ADVOCATE AJAY KUSHWAHA,http://myneta.info/2008mp/candidate.php?candidate_id=3153,Vidisha,IND,0,Post Graduate,3035000,142000,2893000,144,GEN,VIDISHA,VINDHYAN PLEATEAU,,TRUE,FALSE,Male,Independent
ADVOCATE ASHOK BAIN,http://myneta.info/2008mp/candidate.php?candidate_id=1965,Jabalpur Purba,JD(U),0,Post Graduate,352700,200000,152700,97,SC,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,,TRUE,FALSE,Male,Janata Dal (United)
ADVOCATE GANESH SEN (HIROUNDI),http://myneta.info/2008mp/candidate.php?candidate_id=1609,Chitrakoot,GGP,0,Post Graduate,770000,100000,670000,61,GEN,SATNA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Gondvana Gantantra Party
ADVOCATE KAMAL KUSHWAHA,http://myneta.info/2008mp/candidate.php?candidate_id=2548,Pathariya,RSMD,0,Post Graduate,1042000,0,1042000,54,GEN,DAMOH,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,RSMD
ADVOCATE MADHAVI CHOUDHARY,http://myneta.info/2008mp/candidate.php?candidate_id=344,Naryoli,INC,0,Post Graduate,3080000,0,3080000,40,SC,SAGAR,VINDHYAN PLEATEAU,,FALSE,FALSE,Female,Indian National Congress
ADVOCATE RAJ KISHOR TIWARI,http://myneta.info/2008mp/candidate.php?candidate_id=773,Rajnagar,BJSH,0,Graduate Professional,2517000,0,2517000,50,GEN,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Bharatiya Jan Shakti
ADVOCATE RAJA PRAJAPATI,http://myneta.info/2008mp/candidate.php?candidate_id=1596,Chhatarpur,BAP,0,Graduate Professional,71000,0,71000,51,GEN,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,FALSE,Male,BAP
ADVOCATE TEJI LAL KUSHWAHA,http://myneta.info/2008mp/candidate.php?candidate_id=2491,Panagar,JD(U),1,Graduate Professional,385000,0,385000,101,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,TRUE,Male,Janata Dal (United)
AFGAN KHAN,http://myneta.info/2008mp/candidate.php?candidate_id=2124,Khargone,SP,0,5th Pass,299000,30000,269000,185,GEN,KHARGONE,NIMAR VALLEY,,TRUE,FALSE,Male,Samajwadi Party
AFJAL KHAN,http://myneta.info/2008mp/candidate.php?candidate_id=2937,Shivpuri,SP,0,12th Pass,2307000,0,2307000,25,GEN,SHIVPURI,GIRD ZONE,,FALSE,FALSE,Male,Samajwadi Party
AFZAL KHAN (SHERU BHAI),http://myneta.info/2008mp/candidate.php?candidate_id=1493,Bhojpur,SP,0,12th Pass,2408190,600000,1808190,141,GEN,RAISEN,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Samajwadi Party
AGNIHOTREE RAJKUMARI KAILASH KUNDAL,http://myneta.info/2008mp/candidate.php?candidate_id=122,Khategaon,INC,0,12th Pass,15098494,94427,15004067,173,GEN,DEWAS,MALWA PLATEAU,,FALSE,FALSE,Male,Indian National Congress
AGRAWAL SANTOSH KUMAR,http://myneta.info/2008mp/candidate.php?candidate_id=661,Chhatarpur,INC,0,12th Pass,6712933,457674,6255259,51,GEN,CHHATARPUR,BUNDELKHAND ZONE,,TRUE,FALSE,Male,Indian National Congress
AHIR GYANSINGH YADAV,http://myneta.info/2008mp/candidate.php?candidate_id=2462,Niwari,IND,0,8th Pass,638000,0,638000,46,GEN,TIKAMGARH,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
AHIR PRADEEP,http://myneta.info/2008mp/candidate.php?candidate_id=2447,Niwari,INC,0,Post Graduate,2041266,480000,1561266,46,GEN,TIKAMGARH,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Indian National Congress
AHIRWAL PHOOLCHAND,http://myneta.info/2008mp/candidate.php?candidate_id=1196,Amla,BSP,1,Graduate,4650000,0,4650000,130,SC,BETUL,SATPURA PLATEAU,,TRUE,FALSE,Male,Bahujan Samaj Party
AHIRWAR BABULAL,http://myneta.info/2008mp/candidate.php?candidate_id=1572,Chandla,IND,0,12th Pass,1000000,0,1000000,49,SC,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
AHIRWAR DEVIDEEN,http://myneta.info/2008mp/candidate.php?candidate_id=1574,Chandla,IND,2,8th Pass,1341000,0,1341000,49,SC,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,TRUE,Male,Independent
AHIRWAR GHANSHYAMDAS,http://myneta.info/2008mp/candidate.php?candidate_id=2239,Maharajpur,IND,0,Graduate,723000,0,723000,48,GEN,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
AHIRWAR HALKE PRASAD,http://myneta.info/2008mp/candidate.php?candidate_id=659,Chandla,BSP,0,12th Pass,860132,0,860132,49,SC,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Bahujan Samaj Party
AHIRWAR JAMUNA PRASAD,http://myneta.info/2008mp/candidate.php?candidate_id=2455,Niwari,LJP,0,Post Graduate,315000,25000,290000,46,GEN,TIKAMGARH,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Lok Janshakti Party
AHIRWAR JAMUNA PRASAD,http://myneta.info/2008mp/candidate.php?candidate_id=2011,Jatara,IND,0,12th Pass,628000,0,628000,44,SC,TIKAMGARH,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
AHIRWAR KALUWA,http://myneta.info/2008mp/candidate.php?candidate_id=1583,Chandla,IND,0,5th Pass,147000,0,147000,49,SC,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
AHIRWAR KAMLAPAT,http://myneta.info/2008mp/candidate.php?candidate_id=2014,Jatara,LJP,0,Literate,1450000,200000,1250000,44,SC,TIKAMGARH,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Lok Janshakti Party
AHIRWAR MOHAN LAL,http://myneta.info/2008mp/candidate.php?candidate_id=2451,Niwari,IND,0,Literate,593994,0,593994,46,GEN,TIKAMGARH,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
AHIRWAR PARWATLAL PURAINIYAN,http://myneta.info/2008mp/candidate.php?candidate_id=1119,Jatara,INC,0,8th Pass,1295000,20000,1275000,44,SC,TIKAMGARH,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Indian National Congress
AHIRWAR RAM KISHAN,http://myneta.info/2008mp/candidate.php?candidate_id=1538,Bina,LJP,0,Graduate,2382000,15000,2367000,35,SC,SAGAR,VINDHYAN PLEATEAU,,TRUE,FALSE,Male,Lok Janshakti Party
AHIRWAR RAM KISHOR,http://myneta.info/2008mp/candidate.php?candidate_id=1592,Chhatarpur,IND,1,Illiterate,15000,0,15000,51,GEN,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,TRUE,Male,Independent
AHIRWAR RAMCHANDRA,http://myneta.info/2008mp/candidate.php?candidate_id=2012,Jatara,IND,0,Literate,1655000,5000,1650000,44,SC,TIKAMGARH,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
AHIRWAR RAMDAYAL,http://myneta.info/2008mp/candidate.php?candidate_id=77,Chandla,BJP,0,8th Pass,10607000,1750000,8857000,49,SC,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Bharatiya Janata Party
AHIRWAR RAMESH NIRALA,http://myneta.info/2008mp/candidate.php?candidate_id=2459,Niwari,IND,0,Not Given,1320000,200000,1120000,46,GEN,TIKAMGARH,BUNDELKHAND ZONE,,TRUE,FALSE,Male,Independent
AHIRWAR RAMESH PRASAD BILLA,http://myneta.info/2008mp/candidate.php?candidate_id=2697,Rajnagar,IND,0,12th Pass,20000,25000,-5000,50,GEN,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
AHIRWAR RAMKRAPAL,http://myneta.info/2008mp/candidate.php?candidate_id=1582,Chandla,RPI(A),0,10th Pass,570000,0,570000,49,SC,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Republican Party of India (A)
AHIRWAR SHRIVISHAL,http://myneta.info/2008mp/candidate.php?candidate_id=1579,Chandla,IND,1,12th Pass,147730,0,147730,49,SC,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
AHIRWAR THOWAN,http://myneta.info/2008mp/candidate.php?candidate_id=2004,Jatara,IND,0,Illiterate,680000,2000,678000,44,SC,TIKAMGARH,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
AJAB SINGH GURJAR,http://myneta.info/2008mp/candidate.php?candidate_id=2029,Joura,BJSH,0,5th Pass,212000,0,212000,4,GEN,MORENA,GIRD ZONE,,FALSE,FALSE,Male,Bharatiya Jan Shakti
AJAB SINGH KUSHWAH,http://myneta.info/2008mp/candidate.php?candidate_id=262,Sumawali,BSP,2,12th Pass,5086000,0,5086000,5,GEN,MORENA,GIRD ZONE,,TRUE,FALSE,Male,Bahujan Samaj Party
AJAB SINGH RAGHUVANSHI,http://myneta.info/2008mp/candidate.php?candidate_id=1152,Shamshabad,BJSH,0,5th Pass,5593176,458125,5135051,148,GEN,VIDISHA,VINDHYAN PLEATEAU,,TRUE,FALSE,Male,Bharatiya Jan Shakti
AJAB SINGH SOLANKI,http://myneta.info/2008mp/candidate.php?candidate_id=1754,Dimani,IND,0,5th Pass,11500,0,11500,7,GEN,MORENA,GIRD ZONE,,FALSE,FALSE,Male,Independent
AJABLAL TULARAM,http://myneta.info/2008mp/candidate.php?candidate_id=687,Waraseoni,BSP,0,Others,410000,0,410000,112,GEN,BALAGHAT,CHHATTISGARH PLAINS,,FALSE,FALSE,Male,Bahujan Samaj Party
AJABSINGH LODHI,http://myneta.info/2008mp/candidate.php?candidate_id=785,Churai,BJSH,0,12th Pass,2162000,150000,2012000,124,GEN,CHHINDWARA,SATPURA PLATEAU,,FALSE,FALSE,Male,Bharatiya Jan Shakti
AJAY,http://myneta.info/2008mp/candidate.php?candidate_id=938,Bichhiya,SP,0,Not Given,90000,0,90000,105,ST,MANDLA,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,Samajwadi Party
AJAY,http://myneta.info/2008mp/candidate.php?candidate_id=2649,Prithvipur,IND,0,Graduate Professional,0,0,0,45,GEN,TIKAMGARH,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
AJAY ARJUN SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=409,Churhat,INC,1,Post Graduate,70810252,1642000,69168252,76,GEN,SIDHI,KYMORE PLEATEAU AND SATPURA HILLS,,TRUE,FALSE,Male,Indian National Congress
AJAY KUMAR ALIAS ANJU KASAR,http://myneta.info/2008mp/candidate.php?candidate_id=1369,Balaghat,IND,0,5th Pass,15000,0,15000,111,GEN,BALAGHAT,CHHATTISGARH PLAINS,,FALSE,FALSE,Male,Independent
AJAY POWNIKAR,http://myneta.info/2008mp/candidate.php?candidate_id=1447,Betul,IND,0,Graduate,155648,4255,151393,131,GEN,BETUL,SATPURA PLATEAU,,FALSE,FALSE,Male,Independent
AJAY PRATAP SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=410,Churhat,BJP,0,Post Graduate,2988000,0,2988000,76,GEN,SIDHI,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Bharatiya Janata Party
AJAY RAWAT,http://myneta.info/2008mp/candidate.php?candidate_id=634,Kukshi,BSP,0,Graduate,170000,0,170000,198,ST,DHAR,MALWA PLATEAU,,FALSE,FALSE,Male,Bahujan Samaj Party
AJAY SINGH AWASYA,http://myneta.info/2008mp/candidate.php?candidate_id=718,Badwani,IND,0,Post Graduate,1220000,12000,1208000,190,ST,BARWANI,NIMAR VALLEY,,FALSE,FALSE,Male,Independent
AJAY VISHNOI,http://myneta.info/2008mp/candidate.php?candidate_id=193,Patan,BJP,1,Graduate,23400067,664323,22735744,95,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,,TRUE,TRUE,Male,Bharatiya Janata Party
AJAY YADAV,http://myneta.info/2008mp/candidate.php?candidate_id=431,Khargapur,BJSH,0,Graduate Professional,2498079,1855,2496224,47,GEN,TIKAMGARH,BUNDELKHAND ZONE,,TRUE,FALSE,Male,Bharatiya Jan Shakti
AJEET JAIN (CHHOTA),http://myneta.info/2008mp/candidate.php?candidate_id=1100,Kolaras,BJSH,2,Graduate,2174000,0,2174000,27,GEN,SHIVPURI,GIRD ZONE,,TRUE,FALSE,Male,Bharatiya Jan Shakti
AJEET KUMAR JAIN,http://myneta.info/2008mp/candidate.php?candidate_id=2166,Kolaras,IND,0,8th Pass,245800,15200,230600,27,GEN,SHIVPURI,GIRD ZONE,,FALSE,FALSE,Male,Independent
AJEET KUMAR SEN,http://myneta.info/2008mp/candidate.php?candidate_id=1969,Jabalpur Uttar,IND,0,Post Graduate,55000,0,55000,98,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
AJEET SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=1640,Churhat,IND,0,12th Pass,4700000,0,4700000,76,GEN,SIDHI,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
AJENDRA PAL SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=1423,Bargi,IND,0,Graduate,91000,0,91000,96,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Independent
AJENDRA SINGH (AJJU BHAIYA),http://myneta.info/2008mp/candidate.php?candidate_id=565,Tendukheda,BSP,0,10th Pass,3003418,110000,2893418,120,GEN,NARSINGHPUR,CENTRAL NARMADA VALLEY,,FALSE,FALSE,Male,Bahujan Samaj Party
AJIT KUMAN JAIN,http://myneta.info/2008mp/candidate.php?candidate_id=1433,Basoda,IND,0,10th Pass,402000,0,402000,145,GEN,VIDISHA,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Independent
AJIT KUMAR JAIN PATWA,http://myneta.info/2008mp/candidate.php?candidate_id=1932,Indore -1,IND,0,10th Pass,700000,0,700000,204,GEN,INDORE,MALWA PLATEAU,,FALSE,FALSE,Male,Independent
AJMER SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=1651,Dabra,IND,0,Graduate,3090000,50000,3040000,19,SC,GWALIOR,GIRD ZONE,,FALSE,FALSE,Male,Independent
AJMER SINGH CHOURIYA,http://myneta.info/2008mp/candidate.php?candidate_id=1625,Churai,BSP,0,12th Pass,972000,17000,955000,124,GEN,CHHINDWARA,SATPURA PLATEAU,,FALSE,FALSE,Male,Bahujan Samaj Party
AJMER SINGH VARSINGH BHOORIYA,http://myneta.info/2008mp/candidate.php?candidate_id=596,Petlawad,BJSH,0,Post Graduate,186500,65000,121500,195,ST,JHABUA,JHABUA HILLS,,FALSE,FALSE,Male,Bharatiya Jan Shakti
AKHALAK,http://myneta.info/2008mp/candidate.php?candidate_id=2255,Mahidpur,IND,0,8th Pass,103500,0,103500,213,GEN,UJJAIN,MALWA PLATEAU,,FALSE,FALSE,Male,Independent
AKHAND DADA,http://myneta.info/2008mp/candidate.php?candidate_id=1116,Tikamgarh,BJP,0,Post Graduate,8445949,1713210,6732739,43,GEN,TIKAMGARH,BUNDELKHAND ZONE,,TRUE,FALSE,Male,Bharatiya Janata Party
AKHAND PRATAP SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=324,Mauganj,BJP,0,Post Graduate,9271475,300000,8971475,71,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,,TRUE,FALSE,Male,Bharatiya Janata Party
AKHILESH CHANDRA TRIPATHI,http://myneta.info/2008mp/candidate.php?candidate_id=1417,Bargi,SP,2,Post Graduate,1998,0,1998,96,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,TRUE,Male,Samajwadi Party
AKHILESH KUMAR UIKE,http://myneta.info/2008mp/candidate.php?candidate_id=2998,Silwani,IND,0,12th Pass,2050000,50000,2000000,143,GEN,RAISEN,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Independent
AKHILESH PATIDAR,http://myneta.info/2008mp/candidate.php?candidate_id=2074,Kasrawad,IND,0,12th Pass,1175000,755520,419480,184,GEN,KHARGONE,NIMAR VALLEY,,FALSE,FALSE,Male,Independent
AKHTAR HUSSAIN,http://myneta.info/2008mp/candidate.php?candidate_id=2105,Khargapur,IND,0,8th Pass,50000,0,50000,47,GEN,TIKAMGARH,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
AKRAM URF BABLOO DISK,http://myneta.info/2008mp/candidate.php?candidate_id=2418,Narela,IND,0,5th Pass,92700,0,92700,151,GEN,BHOPAL,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Independent
ALKESH ARYA,http://myneta.info/2008mp/candidate.php?candidate_id=41,Betul,BJP,0,Graduate Professional,4426000,0,4426000,131,GEN,BETUL,SATPURA PLATEAU,,TRUE,FALSE,Male,Bharatiya Janata Party
ALKESH KUMAR,http://myneta.info/2008mp/candidate.php?candidate_id=1701,Deotalab,SAP,2,Post Graduate,424697,0,424697,72,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,,FALSE,FALSE,Male,Samata Partu
ALOK JOSHI,http://myneta.info/2008mp/candidate.php?candidate_id=1848,Gwalior,IND,0,12th Pass,70600,0,70600,15,GEN,GWALIOR,GIRD ZONE,,TRUE,FALSE,Male,Independent
ALOK KHARE,http://myneta.info/2008mp/candidate.php?candidate_id=2283,Malhara,IND,0,Graduate Professional,343000,0,343000,53,GEN,CHHATARPUR,BUNDELKHAND ZONE,,FALSE,FALSE,Male,Independent
ALOK SHARMA,http://myneta.info/2008mp/candidate.php?candidate_id=60,Bhopal Uttar,BJP,1,Graduate,7611300,234169,7377131,150,GEN,BHOPAL,VINDHYAN PLEATEAU,,TRUE,FALSE,Male,Bharatiya Janata Party
ALVEL SINGH RANA,http://myneta.info/2008mp/candidate.php?candidate_id=1859,Gwalior Rural,LSWP,1,10th Pass,404000,100000,304000,14,GEN,GWALIOR,GIRD ZONE,,FALSE,TRUE,Male,Loktantrik Samajwadi Party
AMAR PAAL SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=1158,Pushprajgarh,CPM,0,5th Pass,435000,10000,425000,88,ST,ANUPPUR,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,Communist Party of India (Marxist)
AMAR SINGH,http://myneta.info/2008mp/candidate.php?candidate_id=2603,Pichhore,IND,0,Not Given,387000,40000,347000,26,GEN,SHIVPURI,GIRD ZONE,,FALSE,FALSE,Male,Independent
AMARDAS KAWRE,http://myneta.info/2008mp/candidate.php?candidate_id=2524,Paraswada,RSMD,0,10th Pass,10000,0,10000,110,GEN,BALAGHAT,CHHATTISGARH PLAINS,,FALSE,FALSE,Male,RSMD
AMARDEEP VARTIYA,http://myneta.info/2008mp/candidate.php?candidate_id=1010,Alot,SP,0,5th Pass,305000,0,305000,223,SC,RATLAM,MALWA PLATEAU,,FALSE,FALSE,Male,Samajwadi Party
AMARNATH BAIGA,http://myneta.info/2008mp/candidate.php?candidate_id=1143,Manpur,SP,0,5th Pass,200000,0,200000,90,ST,UMARIA,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,Samajwadi Party
AMARNATH MISHRA,http://myneta.info/2008mp/candidate.php?candidate_id=2183,Kotma,RPI(A),0,Graduate,80000,0,80000,86,GEN,ANUPPUR,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,FALSE,Male,Republican Party of India (A)
AMARU KOL,http://myneta.info/2008mp/candidate.php?candidate_id=2329,Manpur,RSMD,2,Graduate,250000,0,250000,90,ST,UMARIA,NOTHERN HILLS ZONE OF CHHATTISGARH,,FALSE,TRUE,Male,RSMD
AMBADAS TAYADE,http://myneta.info/2008mp/candidate.php?candidate_id=1807,Govindpura,GGP,0,Illiterate,2900,0,2900,154,GEN,BHOPAL,VINDHYAN PLEATEAU,,FALSE,FALSE,Male,Gondvana Gantantra Party
AMBIKA,http://myneta.info/2008mp/candidate.php?candidate_id=3011,Singrauli,IND,1,Not Given,13661530,395000,13266530,80,GEN,SINGRAULI,KYMORE PLEATEAU AND SATPURA HILLS,,TRUE,FALSE,Male,Independent
