candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,match,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Chomjong Haidley,http://myneta.info/arunachal2014/candidate.php?candidate_id=36,MIAO,BJP,0,12th Pass,6395568,200000,6195568,MIAO,50,ST,NA,NA,false,true,false,Male,,,,,,
Chow Pingthika Namchoom,http://myneta.info/arunachal2014/candidate.php?candidate_id=140,NAMSAI,BJP,0,10th Pass,72248000,0,72248000,NAMSAI,47,ST,NA,NA,false,true,false,Male,,,,,,
Chow Rajanam Namchoom,http://myneta.info/arunachal2014/candidate.php?candidate_id=138,CHOWKHAM,IND,0,12th Pass,2072903,398691,1674212,CHOWKHAM,46,ST,NA,NA,false,true,false,Male,,,,,,
Chow Tewa Mein,http://myneta.info/arunachal2014/candidate.php?candidate_id=24,CHOWKHAM,INC,0,Graduate,27998803,676231,27322572,CHOWKHAM,46,ST,NA,NA,false,true,false,Male,,,,,,
Chowna Mein,http://myneta.info/arunachal2014/candidate.php?candidate_id=175,LEKANG,INC,0,Graduate,272811496,0,272811496,LEKANG,48,ST,NA,NA,false,true,false,Male,,,,,,
Dasanglu Pul,http://myneta.info/arunachal2014/candidate.php?candidate_id=187,HAYULIANG (ST) : BYE ELECTION ON 19-11-2016,BJP,0,12th Pass,28590366,0,28590366,HAYULIANG,45,ST,NA,NA,false,true,false,Female,,,,,,
Debia Tara,http://myneta.info/arunachal2014/candidate.php?candidate_id=61,YACHULI,BJP,0,10th Pass,5000,0,5000,YACHULI,16,ST,NA,NA,false,false,false,Male,,,,,,
Dikto Yekar,http://myneta.info/arunachal2014/candidate.php?candidate_id=64,DAPORIJO,INC,0,10th Pass,6991500,0,6991500,DAPORIJO,24,ST,NA,NA,false,true,false,Male,,,,,,
Dorjee Khandu Thongon,http://myneta.info/arunachal2014/candidate.php?candidate_id=31,KALAKTANG,BJP,0,Not Given,8060975,0,8060975,KALAKTANG,5,ST,NA,NA,false,false,false,Male,,,,,,
Ejenso Yun,http://myneta.info/arunachal2014/candidate.php?candidate_id=137,HAYULIANG,PPA,0,8th Pass,1045000,200000,845000,HAYULIANG,45,ST,NA,NA,false,false,false,Male,,,,,,
Er. Markio Tado,http://myneta.info/arunachal2014/candidate.php?candidate_id=168,TALI,INC,0,Graduate Professional,25105000,132000,24973000,TALI,20,ST,NA,NA,false,false,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=168&id2=49,25105000,20305000,4800000,24%,Party in last election was NCP
Eri Tayu,http://myneta.info/arunachal2014/candidate.php?candidate_id=158,ANINI,BJP,0,12th Pass,5649470,1432000,4217470,ANINI,41,ST,NA,NA,false,true,false,Male,,,,,,
Gabriel Denwang Wangsu,http://myneta.info/arunachal2014/candidate.php?candidate_id=178,KANUBARI (ST) : BYE- ELECTION ON 15-10-2014,INC,0,Graduate,13676365,389471,13286894,KANUBARI,58,ST,NA,NA,false,true,false,Male,,,,,,
Gabriel Denwang Wangsu,http://myneta.info/arunachal2014/candidate.php?candidate_id=144,KANUBARI,IND,0,Graduate,13591878,389471,13202407,KANUBARI,58,ST,NA,NA,false,true,false,Male,,,,,,
Gadam Ete,http://myneta.info/arunachal2014/candidate.php?candidate_id=73,ALONG WEST,INC,1,12th Pass,6239524,0,6239524,ALONG WEST,30,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=73&id2=76,6239524,12944000,-6704476,-52%,PAN was missing last time
Gandhi Sakrinsow,http://myneta.info/arunachal2014/candidate.php?candidate_id=8,THRIZINO-BURAGAON,BJP,0,10th Pass,57732292,0,57732292,THRIZINO-BURAGAON,6,ST,NA,NA,false,true,false,Male,,,,,,
Gegong Apang,http://myneta.info/arunachal2014/candidate.php?candidate_id=49,TUTING-YINGKIONG,BJP,3,Graduate,86500627,0,86500627,TUTING-YINGKIONG,34,ST,NA,NA,false,true,true,Male,,,,,,
Gegum Lollen,http://myneta.info/arunachal2014/candidate.php?candidate_id=78,ALONG EAST,NPF,0,8th Pass,2541000,0,2541000,ALONG EAST,31,ST,NA,NA,false,false,false,Male,,,,,,
Geli Ete,http://myneta.info/arunachal2014/candidate.php?candidate_id=75,ALONG WEST,NPF,0,10th Pass,651000,0,651000,ALONG WEST,30,ST,NA,NA,false,false,false,Male,,,,,,
Gojen Gadi,http://myneta.info/arunachal2014/candidate.php?candidate_id=13,BASAR,INC,0,Literate,897174600,9000000,888174600,BASAR,29,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=13&id2=73,897174600,192160000,705014600,367%,PAN was missing last time
Gotem Tayeng,http://myneta.info/arunachal2014/candidate.php?candidate_id=97,DAMBUK,NPF,0,10th Pass,6200000,0,6200000,DAMBUK,42,ST,NA,NA,false,true,false,Male,,,,,,
Gumke Riba,http://myneta.info/arunachal2014/candidate.php?candidate_id=71,LIKABALI,BJP,0,Graduate,9755000,0,9755000,LIKABALI,28,ST,NA,NA,false,false,false,Male,,,,,,
Haappa Taidong,http://myneta.info/arunachal2014/candidate.php?candidate_id=22,CHANGLANG NORTH,NPF,0,12th Pass,900000,0,900000,CHANGLANG NORTH,53,ST,NA,NA,false,true,false,Male,,,,,,
Hangcha Tonrang,http://myneta.info/arunachal2014/candidate.php?candidate_id=116,BORDURIA- BOGAPANI,IND,0,12th Pass,1211000,0,1211000,BORDURIA- BOGAPANI,57,ST,NA,NA,false,true,false,Male,,,,,,
Holai Wangsa,http://myneta.info/arunachal2014/candidate.php?candidate_id=149,PONGCHAU-WAKKA,BJP,0,Graduate,50000,0,50000,PONGCHAU-WAKKA,60,ST,NA,NA,false,true,false,Male,,,,,,
Honchun Ngandam,http://myneta.info/arunachal2014/candidate.php?candidate_id=150,PONGCHAU-WAKKA,INC,0,Graduate,10581892,0,10581892,PONGCHAU-WAKKA,60,ST,NA,NA,false,true,false,Male,,,,,,
J. K. Panggeng,http://myneta.info/arunachal2014/candidate.php?candidate_id=92,MARIYANG-GEKU,INC,0,Graduate Professional,11515555,0,11515555,MARIYANG-GEKU,40,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=92&id2=103,11515555,6324000,5191555,82%,PAN was missing last time
Jabring Venia,http://myneta.info/arunachal2014/candidate.php?candidate_id=160,CHAYANGTAJO,PPA,2,Not Given,12323840,750000,11573840,CHAYANGTAJO,9,ST,NA,NA,false,true,true,Male,,,,,,
Jambey Tashi,http://myneta.info/arunachal2014/candidate.php?candidate_id=35,LUMLA,INC,0,Graduate,101476000,0,101476000,LUMLA,1,ST,NA,NA,false,true,false,Female,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=35&id2=161,101476000,26250000,75226000,287%,PAN was missing last time
Japu Deru,http://myneta.info/arunachal2014/candidate.php?candidate_id=9,BOMDILA,BJP,0,Graduate,40481062,0,40481062,BOMDILA,7,ST,NA,NA,false,true,false,Male,,,,,,
Jarbom Gamlin,http://myneta.info/arunachal2014/candidate.php?candidate_id=11,LIROMOBA,INC,0,Graduate Professional,34200000,0,34200000,LIROMOBA,27,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=11&id2=68,34200000,27300000,6900000,25%,PAN was missing last time
Jarkar Gamlin,http://myneta.info/arunachal2014/candidate.php?candidate_id=76,ALONG EAST,INC,1,10th Pass,41509209,0,41509209,ALONG EAST,31,ST,NA,NA,false,true,true,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=76&id2=78,41509209,31164838,10344371,33%,PAN is Different
John Jugli,http://myneta.info/arunachal2014/candidate.php?candidate_id=23,CHANGLANG SOUTH,NCP,0,Graduate,13867739,0,13867739,CHANGLANG SOUTH,52,ST,NA,NA,false,true,false,Male,,,,,,
Johny Tali,http://myneta.info/arunachal2014/candidate.php?candidate_id=182,LIROMOBA : BYE- ELECTION ON 13-02-2015,IND,0,Others,1220000,0,1220000,LIROMOBA,27,ST,NA,NA,false,false,false,Male,,,,,,
Johny Tali,http://myneta.info/arunachal2014/candidate.php?candidate_id=68,LIROMOBA,NPF,0,Others,520000,0,520000,LIROMOBA,27,ST,NA,NA,false,false,false,Male,,,,,,
Jomde Kena,http://myneta.info/arunachal2014/candidate.php?candidate_id=70,LIKABALI,INC,0,8th Pass,115920741,0,115920741,LIKABALI,28,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=70&id2=70,115920741,19910000,96010741,482%,"PAN was missing last time    bad_scan for movable asset in Arunachal Pradesh 2009 , bad_scan for immovable asset in Arunachal Pradesh 2009 ."
Jowang Hosai,http://myneta.info/arunachal2014/candidate.php?candidate_id=117,BORDURIA- BOGAPANI,NCP,0,12th Pass,3281165,0,3281165,BORDURIA- BOGAPANI,57,ST,NA,NA,false,true,false,Male,,,,,,
Jyae Wangsu,http://myneta.info/arunachal2014/candidate.php?candidate_id=186,KANUBARI (ST) : BYE- ELECTION ON 16-05-2016,INC,0,12th Pass,1224950,0,1224950,KANUBARI,58,ST,NA,NA,false,true,false,Male,,,,,,
Kalikho Pul,http://myneta.info/arunachal2014/candidate.php?candidate_id=135,HAYULIANG,INC,0,Graduate,46744449,0,46744449,HAYULIANG,45,ST,NA,NA,false,false,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=135&id2=115,46744449,10356500,36387949,351%,
Kaling Moyong,http://myneta.info/arunachal2014/candidate.php?candidate_id=169,PASIGHAT EAST,BJP,0,12th Pass,16893233,0,16893233,PASIGHAT EAST,38,ST,NA,NA,false,true,false,Male,,,,,,
Kameng Dolo,http://myneta.info/arunachal2014/candidate.php?candidate_id=165,PAKKE-KESSANG,INC,0,10th Pass,275492230,0,275492230,PAKKE-KESSANG,12,ST,NA,NA,false,true,false,Male,,,,,,
Kamlung Mosang,http://myneta.info/arunachal2014/candidate.php?candidate_id=37,MIAO,INC,0,Graduate Professional,18514096,0,18514096,MIAO,50,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=37&id2=132,18514096,3045271,15468825,508%,PAN was missing last time
Kamthok Lowang,http://myneta.info/arunachal2014/candidate.php?candidate_id=33,KHONSA EAST,INC,0,10th Pass,5246033,500000,4746033,KHONSA EAST,55,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=33&id2=146,5246033,204798,5041235,2462%,PAN was missing last time Party in last election was AITC
Kapnai Wangsa,http://myneta.info/arunachal2014/candidate.php?candidate_id=153,PONGCHAU-WAKKA,IND,0,10th Pass,500000,0,500000,PONGCHAU-WAKKA,60,ST,NA,NA,false,false,false,Male,,,,,,
Karikho Kri,http://myneta.info/arunachal2014/candidate.php?candidate_id=171,TEZU,INC,0,10th Pass,50107902,0,50107902,TEZU,44,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=171&id2=112,50107902,13862842,36245060,261%,PAN is Different
Karya Bagang,http://myneta.info/arunachal2014/candidate.php?candidate_id=126,CHAYANGTAJO,INC,0,8th Pass,145013407,0,145013407,CHAYANGTAJO,9,ST,NA,NA,false,true,false,Female,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=126&id2=19,145013407,404663,144608744,35736%,PAN was missing last time Party in last election was AITC
Kento Rina,http://myneta.info/arunachal2014/candidate.php?candidate_id=86,NARI KOYU,BJP,0,Graduate Professional,23063349,0,23063349,NARI KOYU,36,ST,NA,NA,false,true,false,Male,,,,,,
Kirri Dini Bogum,http://myneta.info/arunachal2014/candidate.php?candidate_id=69,LIKABALI,AAP,1,12th Pass,10662000,0,10662000,LIKABALI,28,ST,NA,NA,false,true,true,Male,,,,,,
Kumar Waii,http://myneta.info/arunachal2014/candidate.php?candidate_id=163,BAMENG,INC,0,10th Pass,195621809,14757892,180863917,BAMENG,8,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=163&id2=16,195621809,27300000,168321809,617%,PAN was missing last time
Kumsi Sidisow,http://myneta.info/arunachal2014/candidate.php?candidate_id=155,THRIZINO-BURAGAON,INC,0,Graduate,33640321,0,33640321,THRIZINO-BURAGAON,6,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=155&id2=12,33640321,10817452,22822869,211%,PAN was missing last time Party in last election was PPA
L.K. Yangfo,http://myneta.info/arunachal2014/candidate.php?candidate_id=127,CHAYANGTAJO,BJP,0,10th Pass,60357349,0,60357349,CHAYANGTAJO,9,ST,NA,NA,false,true,false,Male,,,,,,
Laeta Umbrey,http://myneta.info/arunachal2014/candidate.php?candidate_id=45,ROING,PPA,0,Graduate,2500000,0,2500000,ROING,43,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=45&id2=2,2500000,4872880,-2372880,-49%,PAN was missing last time Party in last election was AITC
Laisam Simai,http://myneta.info/arunachal2014/candidate.php?candidate_id=39,NAMPONG,BJP,0,Graduate,3455953,0,3455953,NAMPONG,51,ST,NA,NA,false,true,false,Male,,,,,,
Lelung Lingfa,http://myneta.info/arunachal2014/candidate.php?candidate_id=129,SEPPA EAST,BJP,0,Graduate,13250000,200000,13050000,SEPPA EAST,10,ST,NA,NA,false,true,false,Male,,,,,,
Lijum Ronya,http://myneta.info/arunachal2014/candidate.php?candidate_id=183,LIROMOBA : BYE- ELECTION ON 13-02-2015,IND,0,Graduate,11180000,0,11180000,LIROMOBA,27,ST,NA,NA,false,false,false,Male,,,,,,
Likha Saaya,http://myneta.info/arunachal2014/candidate.php?candidate_id=50,YACHULI,INC,2,12th Pass,95907067,0,95907067,YACHULI,16,ST,NA,NA,true,true,true,Male,,,,,,
Lokam Tassar,http://myneta.info/arunachal2014/candidate.php?candidate_id=157,KOLORIANG,INC,1,10th Pass,14976594,23000000,-8023406,KOLORIANG,21,ST,NA,NA,false,true,true,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=157&id2=51,14976594,5257000,9719594,185%,PAN was missing last time
Lombo Tayeng,http://myneta.info/arunachal2014/candidate.php?candidate_id=89,MEBO,INC,0,Graduate,171274566,0,171274566,MEBO,39,ST,NA,NA,false,true,false,Male,,,,,,
Longwang Wangham,http://myneta.info/arunachal2014/candidate.php?candidate_id=151,PONGCHAU-WAKKA,PPA,0,10th Pass,1170000,0,1170000,PONGCHAU-WAKKA,60,ST,NA,NA,false,false,false,Male,,,,,,
Lowangcha Wanglat,http://myneta.info/arunachal2014/candidate.php?candidate_id=19,BORDURIA- BOGAPANI,BJP,0,Graduate,39380000,4400000,34980000,BORDURIA- BOGAPANI,57,ST,NA,NA,false,true,false,Male,,,,,,
Madang Sonam,http://myneta.info/arunachal2014/candidate.php?candidate_id=159,BAMENG,IND,0,8th Pass,5081665,0,5081665,BAMENG,8,ST,NA,NA,false,true,false,Male,,,,,,
Maling Koje,http://myneta.info/arunachal2014/candidate.php?candidate_id=121,MECHUKA,BJP,0,12th Pass,180000,0,180000,MECHUKA,33,ST,NA,NA,false,false,false,Male,,,,,,
Malo Linggi,http://myneta.info/arunachal2014/candidate.php?candidate_id=44,ROING,BJP,0,Graduate,8350000,0,8350000,ROING,43,ST,NA,NA,false,true,false,Male,,,,,,
Mama Natung,http://myneta.info/arunachal2014/candidate.php?candidate_id=162,SEPPA WEST,INC,0,12th Pass,46589575,0,46589575,SEPPA WEST,11,ST,NA,NA,false,true,false,Male,,,,,,
Mayong Maio,http://myneta.info/arunachal2014/candidate.php?candidate_id=103,BORDUMSA,NCP,0,12th Pass,14195000,0,14195000,BORDUMSA,49,GEN,NA,NA,false,true,false,Male,,,,,,
Michi Tani,http://myneta.info/arunachal2014/candidate.php?candidate_id=52,ZIRO-YACHULI,NCP,0,12th Pass,1576000,0,1576000,ZIRO-YACHULI,17,ST,NA,NA,false,true,false,Male,,,,,,
Mohesh Chai,http://myneta.info/arunachal2014/candidate.php?candidate_id=98,TEZU,BJP,0,Post Graduate,4744520,0,4744520,TEZU,44,ST,NA,NA,false,true,false,Male,,,,,,
Mutchu Mithi,http://myneta.info/arunachal2014/candidate.php?candidate_id=43,ROING,INC,0,Graduate,61572337,0,61572337,ROING,43,ST,NA,NA,false,true,false,Male,,,,,,
Nabam Rebia,http://myneta.info/arunachal2014/candidate.php?candidate_id=161,DOIMUKH,INC,0,Graduate Professional,264901155,0,264901155,DOIMUKH,14,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=161&id2=31,264901155,240512814,24388341,10%,
Nabam Tuki,http://myneta.info/arunachal2014/candidate.php?candidate_id=46,SAGALEE,INC,0,Graduate,115593264,22304820,93288444,SAGALEE,15,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=46&id2=34,115593264,64909561,50683703,78%,
Newlai Tingkhatra,http://myneta.info/arunachal2014/candidate.php?candidate_id=142,KANUBARI,INC,0,Graduate,41554288,2500000,39054288,KANUBARI,58,ST,NA,NA,true,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=142&id2=154,41554288,5009062,36545226,730%,
Ngamkhah Wangnao,http://myneta.info/arunachal2014/candidate.php?candidate_id=146,LONGDING-PUMAO,PPA,0,5th Pass,850000,0,850000,LONGDING-PUMAO,59,ST,NA,NA,false,false,false,Male,,,,,,
Nido Pavitra,http://myneta.info/arunachal2014/candidate.php?candidate_id=66,RAGA,INC,0,Graduate,6694224,0,6694224,RAGA,25,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=66&id2=63,6694224,7517324,-823100,-11%,Age Difference=1 PAN is Different
Nikh Kamin,http://myneta.info/arunachal2014/candidate.php?candidate_id=123,BORDUMSA,PPA,3,Graduate,136325739,30000000,106325739,BORDUMSA,49,GEN,NA,NA,false,true,true,Male,,,,,,
Nongming Kamba Longchang,http://myneta.info/arunachal2014/candidate.php?candidate_id=21,CHANGLANG NORTH,NCP,0,Graduate,4628000,0,4628000,CHANGLANG NORTH,53,ST,NA,NA,false,true,false,Male,,,,,,
Nyamar Karbak,http://myneta.info/arunachal2014/candidate.php?candidate_id=181,LIROMOBA : BYE- ELECTION ON 13-02-2015,INC,0,Post Graduate,16228000,0,16228000,LIROMOBA,27,ST,NA,NA,false,true,false,Male,,,,,,
Ogen Jamoh,http://myneta.info/arunachal2014/candidate.php?candidate_id=93,MARIYANG-GEKU,NCP,0,Graduate,3664000,0,3664000,MARIYANG-GEKU,40,ST,NA,NA,false,true,false,Male,,,,,,
Ojing Tasing,http://myneta.info/arunachal2014/candidate.php?candidate_id=85,PANGING,BJP,0,Graduate,9518765,0,9518765,PANGING,35,ST,NA,NA,false,true,false,Male,,,,,,
Olom Panyang,http://myneta.info/arunachal2014/candidate.php?candidate_id=91,MARIYANG-GEKU,BJP,0,10th Pass,84884780,7700000,77184780,MARIYANG-GEKU,40,ST,NA,NA,false,true,false,Male,,,,,,
Padi Richo,http://myneta.info/arunachal2014/candidate.php?candidate_id=53,ZIRO-YACHULI,INC,1,Post Graduate,41161654,581542,40580112,ZIRO-YACHULI,17,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=53&id2=40,41161654,16169612,24992042,155%,PAN was missing last time
Paknga Bage,http://myneta.info/arunachal2014/candidate.php?candidate_id=29,DUMPORIJO,IND,0,Graduate,22088618,0,22088618,DUMPORIJO,26,ST,NA,NA,false,true,false,Male,,,,,,
Pani Taram,http://myneta.info/arunachal2014/candidate.php?candidate_id=156,KOLORIANG,PPA,0,Graduate,20850000,0,20850000,KOLORIANG,21,ST,NA,NA,false,false,false,Male,,,,,,
Pasang Dorjee Sona,http://myneta.info/arunachal2014/candidate.php?candidate_id=119,MECHUKA,PPA,0,Graduate Professional,9802293,0,9802293,MECHUKA,33,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=119&id2=84,9802293,254915,9547378,3745%,Age Difference=9 PAN was missing last time Party in last election was INC
Pema Khandu,http://myneta.info/arunachal2014/candidate.php?candidate_id=1,MUKTO,INC,0,Graduate,1295756014,0,1295756014,MUKTO,3,ST,NA,NA,false,true,false,Male,,,,,,
Phawang Lowang,http://myneta.info/arunachal2014/candidate.php?candidate_id=111,KHONSA WEST,NPF,0,12th Pass,4980000,0,4980000,KHONSA WEST,56,ST,NA,NA,false,false,false,Male,,,,,,
Phosum Khimhum,http://myneta.info/arunachal2014/candidate.php?candidate_id=106,CHANGLANG SOUTH,INC,0,12th Pass,39172098,0,39172098,CHANGLANG SOUTH,52,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=106&id2=137,39172098,5467643,33704455,616%,
Phurpa Tsering,http://myneta.info/arunachal2014/candidate.php?candidate_id=2,DIRANG,INC,0,12th Pass,54036205,0,54036205,DIRANG,4,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=2&id2=6,54036205,13367422,40668783,304%,Age Difference=3 PAN was missing last time Party in last election was PPA
Pike Pulu,http://myneta.info/arunachal2014/candidate.php?candidate_id=174,LEKANG,NPF,0,8th Pass,4485078,0,4485078,LEKANG,48,ST,NA,NA,false,false,false,Male,,,,,,
Pongsa Saham,http://myneta.info/arunachal2014/candidate.php?candidate_id=148,LONGDING-PUMAO,NCP,0,Graduate,106000,0,106000,LONGDING-PUMAO,59,ST,NA,NA,false,true,false,Male,,,,,,
Punji Mara,http://myneta.info/arunachal2014/candidate.php?candidate_id=47,TALIHA,INC,0,Literate,7770000,0,7770000,TALIHA,23,ST,NA,NA,false,false,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=47&id2=55,7770000,2300000,5470000,238%,
R.T.Khunjuju,http://myneta.info/arunachal2014/candidate.php?candidate_id=5,BOMDILA,INC,0,12th Pass,24432162,0,24432162,BOMDILA,7,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=5&id2=14,24432162,2295000,22137162,965%,"PAN was missing last time    unclear_handwriting for movable asset in Arunachal Pradesh 2009 , unclear_handwriting for immovable asset in Arunachal Pradesh 2009 ."
Rajesh Tacho,http://myneta.info/arunachal2014/candidate.php?candidate_id=17,ANINI,INC,0,10th Pass,29156000,0,29156000,ANINI,41,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=17&id2=107,29156000,16275600,12880400,79%,Age Difference=8 PAN was missing last time
Raksap Yomcha,http://myneta.info/arunachal2014/candidate.php?candidate_id=184,LIROMOBA : BYE- ELECTION ON 13-02-2015,IND,0,Post Graduate,13150000,0,13150000,LIROMOBA,27,ST,NA,NA,false,true,false,Male,,,,,,
Roding Pertin,http://myneta.info/arunachal2014/candidate.php?candidate_id=26,DAMBUK,BJP,0,Graduate,27985000,0,27985000,DAMBUK,42,ST,NA,NA,false,true,false,Male,,,,,,
Rongnai Maham,http://myneta.info/arunachal2014/candidate.php?candidate_id=179,KANUBARI (ST) : BYE- ELECTION ON 15-10-2014,BJP,0,Post Graduate,2020500,0,2020500,KANUBARI,58,ST,NA,NA,false,true,false,Male,,,,,,
Rongnai Maham,http://myneta.info/arunachal2014/candidate.php?candidate_id=143,KANUBARI,BJP,0,Post Graduate,1512800,0,1512800,KANUBARI,58,ST,NA,NA,false,true,false,Male,,,,,,
Setong Sena,http://myneta.info/arunachal2014/candidate.php?candidate_id=105,NAMPONG,INC,0,Graduate,35544500,5000000,30544500,NAMPONG,51,ST,NA,NA,false,true,false,Male,http://myneta.info/arunachal2014/index.php?action=affidavitComparison&myneta_folder2=an2009&id1=105&id2=134,35544500,7260500,28284000,390%,PAN was missing last time
